order,id,title,priority,type,status,lane,release,urgency_tier,readiness,prework_depth,hard_blockers,packet_file
110,polylogue-0k6,Embedding changed-text full-replace regression vs split embeddings.db metadata,P2,task,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/110_polylogue_0k6.md
111,polylogue-0ns,Bound archive embedding work within large sessions,P2,task,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/111_polylogue_0ns.md
112,polylogue-37t.5,Local embedding lane via OpenAI-compatible provider (LiteLLM gateway),P2,feature,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-mhx.1,task_packets/112_polylogue_37t_5.md
113,polylogue-1vpm.1,Delegation derived unit: materializer + query unit + delegation-card projection,P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/113_polylogue_1vpm_1.md
114,polylogue-1vpm.2,"Episode unit: tables, 4-signal scorer with false-merge floor, assertion-calibrated",P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/114_polylogue_1vpm_2.md
115,polylogue-1vpm.4,Turn-pair unit with prompt-burst semantics (no double-claimed answers),P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/115_polylogue_1vpm_4.md
116,polylogue-9l5.7,Statistics substrate + measure registry: uncertainty primitives with construct-validity metadata,P2,feature,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-9l5.19,task_packets/116_polylogue_9l5_7.md
117,polylogue-9l5.13,activity_spans materializer: edit/test/build/idle/delegate intervals with evidence tiers,P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-9l5.19,task_packets/117_polylogue_9l5_13.md
118,polylogue-stc,"Experiment hosting: declared arms, preregistered metrics, paired analysis, agent-buildable",P2,feature,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-9l5.7,task_packets/118_polylogue_stc.md
119,polylogue-cfk,"Re-run two-arm uplift with freshness-fixed packs (n>=3 pairs, then n=12-20)",P1,task,open,10-analytics-experiments,I-analytics-experiments,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/119_polylogue_cfk.md
120,polylogue-212.7,Demo Finding Packet contract + prompt runner + registry manifest,P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-212.9,task_packets/120_polylogue_212_7.md
121,polylogue-212.8,The honesty anti-demo: a tempting finding that emits verdict not_supported,P2,task,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/121_polylogue_212_8.md
122,polylogue-212.1,Post-hoc forensic Q&A demo: questions a tracer cannot answer,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/122_polylogue_212_1.md
123,polylogue-212.2,D1 'The receipts': claim-vs-evidence on a real PR,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/123_polylogue_212_2.md
124,polylogue-212.3,D2 'Where did the money actually go': cost by outcome,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/124_polylogue_212_3.md
125,polylogue-212.4,"D4 'Behavioral archaeology': six DSL queries, rapid fire",P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/125_polylogue_212_4.md
126,polylogue-3tl.12,README de-meta / de-persuasion pass with reproducible capability claims,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/126_polylogue_3tl_12.md
127,polylogue-3tl.13,Reconcile schema-versioning docs + retire superseded execution-plan.md,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/127_polylogue_3tl_13.md
128,polylogue-3tl.4,Findings publishing lane: campaign artifacts on the docs site,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/128_polylogue_3tl_4.md
129,polylogue-3tl.7,Release is a decision: proven install matrix across package managers and OSes,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/129_polylogue_3tl_7.md
130,polylogue-kwsb,Security & privacy: the archive can forget on purpose and never leaks secrets,P2,epic,open,00-trust-floor,A-trust-floor,T1-critical-path-correctness,epic-needs-child-closure,epic-checklist,,task_packets/130_polylogue_kwsb.md
131,polylogue-27m,Excision and secret hygiene: the archive can forget on purpose,P2,task,open,00-trust-floor,A-trust-floor,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-b5l,task_packets/131_polylogue_27m.md
132,polylogue-38x,Reconcile archived audit residue against current source,P2,task,open,00-trust-floor,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/132_polylogue_38x.md
133,polylogue-f2qv,"Provider usage & cost honesty: disjoint token lanes, one pricing source, dual cost view",P2,epic,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,epic-needs-child-closure,epic-checklist,,task_packets/133_polylogue_f2qv.md
134,polylogue-9e5.25,Review zero-use MCP surfaces from affordance usage artifact,P2,task,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/134_polylogue_9e5_25.md
135,polylogue-9e5.26,Review zero-use CLI surfaces from affordance usage artifact,P2,task,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/135_polylogue_9e5_26.md
136,polylogue-9e5.27,Speed up live affordance usage surface inventory,P2,task,open,02-usage-cost-honesty,A-trust-floor,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/136_polylogue_9e5_27.md
137,polylogue-83u,"Attachment & blob evidence integrity: bytes exist, are honest, and stay affordable",P1,epic,open,01-blob-attachment-integrity,B-storage-byte-integrity,T0-stop-the-line-or-P1,epic-needs-child-closure,epic-checklist,,task_packets/137_polylogue_83u.md
138,polylogue-8jg9,"Operational resilience: recoverable, restorable, survives daemon death and deploy",P2,epic,open,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,epic-needs-child-closure,epic-checklist,,task_packets/138_polylogue_8jg9.md
139,polylogue-8jg9.1,Standing backlog-hygiene invariant lint (bd devloop gate),P2,task,open,01-blob-attachment-integrity,B-storage-byte-integrity,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/139_polylogue_8jg9_1.md
140,polylogue-1xc,Scale-hardening: bugs that only bite on real-scale archives,P1,epic,open,08-scale-performance-live,B/G-storage-live-performance,T0-stop-the-line-or-P1,epic-needs-child-closure,epic-checklist,,task_packets/140_polylogue_1xc.md
141,polylogue-a7xr.11,Prune protocols.py zero-consumer protocols + dead repo kwarg query surface + cursor mapping bug,P2,chore,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/141_polylogue_a7xr_11.md
142,polylogue-20d,Interactive performance: the front door answers in interactive time,P2,epic,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,epic-needs-child-closure,epic-checklist,,task_packets/142_polylogue_20d.md
143,polylogue-bby.8,"Web reader perceived performance: virtualized list, streamed search, optimistic navigation",P2,feature,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/143_polylogue_bby_8.md
144,polylogue-opc,Self-tracing: the daemon's own spans land in its own archive,P2,feature,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/144_polylogue_opc.md
145,polylogue-oxz,"Performance instrumentation doctrine: slow-query log, phase timings, logging discipline",P2,feature,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/145_polylogue_oxz.md
146,polylogue-6wnh,Bound thread refresh cost for large Codex appends,P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/146_polylogue_6wnh.md
147,polylogue-ma2,Add FK-supporting index for web_content_constructs message cleanup,P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/147_polylogue_ma2.md
148,polylogue-th0,"Interactive-surface test harness: pty flows, completions, fuzzy pickers",P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/148_polylogue_th0.md
149,polylogue-yeq,"Advanced verification lanes: metamorphic DSL, daemon chaos, API-contract walks",P2,task,open,08-scale-performance-live,B/G-storage-live-performance,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/149_polylogue_yeq.md
150,polylogue-fnm,Query DSL: one grammar owns query semantics; compose instead of multiplying verbs,P2,epic,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,epic-needs-child-closure,epic-checklist,,task_packets/150_polylogue_fnm.md
151,polylogue-t46,Contracts own surfaces: delete parallel dispatch and the QA middle layer,P2,epic,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,epic-needs-child-closure,epic-checklist,,task_packets/151_polylogue_t46.md
152,polylogue-fnm.12,"User-defined query macros: named, composable DSL shorthands in user.db",P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/152_polylogue_fnm_12.md
153,polylogue-fnm.14,find <query> | compact: token-budgeted corpus-compaction projection with drop manifest,P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/153_polylogue_fnm_14.md
154,polylogue-fnm.2,Projection predicates/windows + render/layout stages on attached units,P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/154_polylogue_fnm_2.md
155,polylogue-fnm.4,Shell completion + fuzzy selection as read-only projections of the grammar registries,P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/155_polylogue_fnm_4.md
156,polylogue-fnm.6,Wire the terminal stage to projections: | read / | context-image,P2,feature,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/156_polylogue_fnm_6.md
157,polylogue-1lm,Composable transcript views: selector x transform x budget algebra,P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,blocked-hard,bead-localized-from-export,polylogue-jnj.1,task_packets/157_polylogue_1lm.md
158,polylogue-ap7,"Semantic transcript rendering: tool-call-aware, provider-agnostic, shared CLI/web renderer registry",P2,task,open,04-read-contract-query-render,C-read-contract,T1-critical-path-correctness,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/158_polylogue_ap7.md
159,polylogue-rxdo,"Analysis provenance: queries, result-sets, findings, analyses as first-class objects",P2,epic,open,05-analysis-provenance-citations,C-read-contract,T1-critical-path-correctness,epic-needs-child-closure,epic-checklist,,task_packets/159_polylogue_rxdo.md
160,polylogue-s7ae,Agent coordination substrate: evidence-backed multi-agent work without tracker lock-in,P1,epic,open,06-agent-context-coordination,D-agent-context-coordination,T0-stop-the-line-or-P1,epic-needs-child-closure,epic-checklist,,task_packets/160_polylogue_s7ae.md
161,polylogue-rsad,"MCP agent ergonomics: oversized responses, boilerplate affordances, metadata-only summaries",P2,bug,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,needs-acceptance-criteria,spec-only,,task_packets/161_polylogue_rsad.md
162,polylogue-37t,Agent context/memory loop: declared claims -> judgment -> preamble -> reboot,P2,epic,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/162_polylogue_37t.md
163,polylogue-cpf,"Land the six doctrines: time, writers, finding-provenance, degraded-modes, non-goals, injected-context trust",P2,epic,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/163_polylogue_cpf.md
164,polylogue-rii,Live substrate intake: agents write work-events; evidence materializes in-loop,P2,epic,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/164_polylogue_rii.md
165,polylogue-37t.1,Assertions: consumer wiring + lifecycle tightening for unified overlays,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/165_polylogue_37t_1.md
166,polylogue-37t.2,Inline annotation protocol: agent-authored structure in plain prose,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/166_polylogue_37t_2.md
167,polylogue-37t.3,Reboot-with-refs: session self-compaction protocol,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/167_polylogue_37t_3.md
168,polylogue-37t.6,Session-aware devshell entry: surface what the last agent session left behind,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/168_polylogue_37t_6.md
169,polylogue-37t.7,Close the failure loop: verify postmortem -> next session's context seed,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/169_polylogue_37t_7.md
170,polylogue-37t.8,Resume routing: map a session to the harness invocation that reopens it,P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/170_polylogue_37t_8.md
171,polylogue-90y,"In-page overlay: Polylogue presence on chat sites — archive state, context, assertion capture",P2,feature,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/171_polylogue_90y.md
172,polylogue-37t.14,"Recursive-safety substrate: citation anchors, provenance edges, grounding verdicts (closed-loop/cycle/drift)",P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/172_polylogue_37t_14.md
173,polylogue-37t.4,SessionStart preamble opt-in rollout (polylogue + sinnix repos),P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-37t.12,task_packets/173_polylogue_37t_4.md
174,polylogue-60i5,Durable-tier batch coordination: one user v4->v5 and one source v2->v3 migration window,P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/174_polylogue_60i5.md
175,polylogue-9e5.24,Sink MCP analysis primitives into insights/ + api facade; delete surface-side math,P2,task,open,06-agent-context-coordination,D-agent-context-coordination,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,anchored-contract-prework,,task_packets/175_polylogue_9e5_24.md
176,polylogue-4ts,"Session lineage truth: shared content stored once, counted once, composed correctly",P1,epic,open,03-lineage-compaction-truth,F-lineage-compaction,T0-stop-the-line-or-P1,epic-needs-child-closure,epic-checklist,,task_packets/176_polylogue_4ts.md
177,polylogue-gjg,"Compaction lifecycle: pre-compaction snapshot, loss forensics, post-compaction re-grounding",P2,epic,open,03-lineage-compaction-truth,F-lineage-compaction,T2-foundation-before-feature-proof,blocked-hard,epic-checklist,polylogue-4ts.5;polylogue-d1y,task_packets/177_polylogue_gjg.md
178,polylogue-1vpm,"Work-graph units: delegation, episode, artifact edges — the derived units between lineage and analysis",P2,epic,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/178_polylogue_1vpm.md
179,polylogue-9l5,Outcome-grounded analytics: the archive answers 'so what' questions,P2,epic,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/179_polylogue_9l5.md
180,polylogue-9l5.1,Outcome-conditioned analytics: cost/duration/retries/tools by structural success,P2,feature,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/180_polylogue_9l5_1.md
181,polylogue-9l5.2,Cross-provider comparative analytics,P2,feature,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/181_polylogue_9l5_2.md
182,polylogue-9l5.6,tool-episodes projection: call + result + outcome + context + next action,P2,feature,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/182_polylogue_9l5_6.md
183,polylogue-9l5.8,"Temporal analytics: trends, rolling baselines, changepoint detection",P2,feature,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-9l5.7,task_packets/183_polylogue_9l5_8.md
184,polylogue-3uw,Capture-completeness: the instrument's coverage error as a standing measure,P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,blocked-hard,bead-localized-from-export,polylogue-d1y,task_packets/184_polylogue_3uw.md
185,polylogue-9l5.15,Triage frontier: worth_reviewing_score + TRIAGED lifecycle — an inbox that empties,P2,task,open,10-analytics-experiments,I-analytics-experiments,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/185_polylogue_9l5_15.md
186,polylogue-mhx,"Embedding substrate: provider-general, honest lifecycle, retrieval that earns its cost",P2,epic,open,09-embeddings-retrieval,J-embeddings-retrieval,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/186_polylogue_mhx.md
187,polylogue-a7xr.10,Kill-or-adopt the search-provider lane: production bypasses the abstraction it should use,P2,chore,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/187_polylogue_a7xr_10.md
188,polylogue-fs1,Hermes bridge: state.db + runtime spans -> canonical evidence -> forensics/eval export,P2,epic,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/188_polylogue_fs1.md
189,polylogue-exb,"Layering: substrate rings import the api facade (6 sites, 2 private-symbol reaches)",P2,task,open,11-interoperability-origin,K-interop-origin,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/189_polylogue_exb.md
190,polylogue-3tl,"External legibility: a stranger can understand, run, and cite Polylogue",P1,epic,open,12-external-legibility-demos,L-legibility-demos,T0-stop-the-line-or-P1,epic-needs-child-closure,epic-checklist,,task_packets/190_polylogue_3tl.md
191,polylogue-212,Demo portfolio: construct-valid demos (D1/D2/D4/D5/D8 + post-hoc forensic Q&A),P2,epic,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,epic-needs-child-closure,epic-checklist,,task_packets/191_polylogue_212.md
192,polylogue-avg,Fold devloop claim-guard vocabulary upstream into ops status/readiness,P2,feature,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/192_polylogue_avg.md
193,polylogue-3tl.9,Docs-and-visuals ownership: coverage lint + regenerable visuals as a standing devloop gate,P2,task,open,12-external-legibility-demos,L-legibility-demos,T2-foundation-before-feature-proof,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/193_polylogue_3tl_9.md
194,polylogue-bby.11,Webui architecture v2: the stack that can carry the ambition,P1,feature,open,99-horizon-or-general,N-horizon,T0-stop-the-line-or-P1,implementation-ready-after-local-inspection,bead-localized-from-export,,task_packets/194_polylogue_bby_11.md
