id,priority,snapshot_status,effective_status,issue_type,title,assignee,source_areas,parent,authority_class,authority_claim,acceptance_semantics,hard_prerequisites,soft_relations,supersedes,explicit_paths,source_presence,stale_description_signal,write_hotspot_cluster,audit_disposition,updated_at,effective_updated_at,labels
polylogue-20d.6,2,open,open,task,Live full-ingest catch-up latency + WAL shape,,daemon;perf,polylogue-20d,canonical-authority-owner,Related invariant to keep verified: full-replace re-ingest rewrites all messages in one transaction (correct for idempotency) — for live-tailed long sessions the append path (sources/live/append_ingest.py) must stay the hot route; run devtools bench ingest-amplification on real tails as a scheduled…,live-evidence;bounded-resource;determinism/idempotency;regression-fixture,,,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/094_polylogue_20d_6.md,origin-only=1,,daemon,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:53:05Z,2026-07-15T19:53:05Z,area:daemon;area:perf;delivery:G-live-performance;horizon:frontier;lane:interactive-performance
polylogue-2kvn,2,open,open,bug,Align raw-artifact parsed_at contract with parsed writes,,api;durability;test,polylogue-2qx,regression/repair-slice,,determinism/idempotency;schema/contract;regression-fixture,,,,tests/unit/api/test_facade_contracts.py,both=1,,api,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:53:05Z,2026-07-15T19:53:05Z,area:api;area:durability;area:test;discovered-from:polylogue-g8km;horizon:frontier
polylogue-37t,2,open,open,epic,Agent context/memory loop: declared claims -> judgment -> preamble -> reboot,,context,,program/invariant-container,"[2026-07-11 recovered implementation] Durable exact context-delivery receipts merged via PR #2703 (37bdfa04c): user v5 additive ledger, canonical image hash, recipient/actor/run/boundary/refs/omissions/caveats, exact retry idempotency and drift refusal.",live-evidence;bounded-resource;security/authorization;operator-gate;regression-fixture,,polylogue-cfk,,tests/unit/context/test_judged_memory_loop.py;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/162_polylogue_37t.md;.agent/reports/chatgpt-pro-branch-assimilation-2026-07-11.md,origin-only=2;missing/planned=1,records-landed-work+records-residual-work,context,retain program container; do not execute as a leaf,2026-07-16T12:57:38Z,2026-07-16T12:57:38Z,area:context;delivery:D-agent-context-coordination;horizon:mid;lane:agent-coordination
polylogue-37t.1,2,open,open,feature,Assertions: consumer wiring + lifecycle tightening for unified overlays,,context,polylogue-37t,domain-implementation-slice,,bounded-resource;operator-gate,,,,tests/unit/insights/test_feedback.py;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/165_polylogue_37t_1.md,both=1;origin-only=1,records-residual-work,context,retain-distinct; no duplicate/contradiction found in this pass,2026-07-07T13:05:20Z,2026-07-07T13:05:20Z,area:context;delivery:D-agent-context-coordination;horizon:frontier;lane:context-memory
polylogue-37t.16,2,open,open,task,Claim-kind -> allowed grounding-class compatibility registry,,context;substrate,polylogue-37t,domain-implementation-slice,,unspecified/qualitative,,,,,no-explicit-paths,,context,retain-distinct; no duplicate/contradiction found in this pass,2026-07-13T04:02:02Z,2026-07-13T04:02:02Z,area:context;area:substrate;delivery:D-agent-context-coordination;horizon:mid;lane:agent-coordination;tech-tree
polylogue-37t.22,2,open,open,feature,Expose durable context-delivery receipts through authenticated surfaces,,api;cli;context;mcp,polylogue-37t,canonical-authority-owner,Keep a single transaction per receipt write and preserve exact-drift refusal across every adapter.,receipt/provenance;bounded-resource;parity/completeness;determinism/idempotency;security/authorization;mutation/falsification;schema/contract,,,,polylogue/storage/sqlite/archive_tiers/context_delivery_write.py;polylogue/api/archive.py;polylogue/surfaces/payloads.py;polylogue/cli/query_verbs.py;tests/infra/mcp.py;tests/unit/mcp/test_envelope_contracts.py;polylogue/cli/commands/status.py;polylogue/mcp/{server_tools.py;tests/unit/{api;tests/unit/storage/test_context_delivery_write.py;tests/unit/api/test_facade_contracts.py;tests/unit/cli/test_query_verbs_runtime.py;tests/unit/mcp/test_tool_contracts.py;tests/unit/mcp/test_tool_discovery.py,both=12;symbolic=2,records-landed-work,api,retain-distinct; no duplicate/contradiction found in this pass,2026-07-11T15:51:53Z,2026-07-11T15:51:53Z,area:api;area:cli;area:context;area:mcp;delivery:D-agent-context-coordination;horizon:frontier;lane:agent-coordination;lane:context-memory
polylogue-37t.3,2,open,open,feature,Reboot-with-refs: session self-compaction protocol,,context,polylogue-37t,domain-implementation-slice,,unspecified/qualitative,,polylogue-37t.12,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/167_polylogue_37t_3.md,origin-only=1,,context,retain-distinct; no duplicate/contradiction found in this pass,2026-07-07T13:05:22Z,2026-07-07T13:05:22Z,area:context;delivery:D-agent-context-coordination;horizon:frontier;lane:context-memory
polylogue-37t.7,2,open,open,feature,Close the failure loop: verify postmortem -> next session's context seed,,context;devloop,polylogue-37t,domain-implementation-slice,,restart/crash;regression-fixture,,,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/169_polylogue_37t_7.md,origin-only=1,,context,retain-distinct; no duplicate/contradiction found in this pass,2026-07-07T13:05:23Z,2026-07-07T13:05:23Z,area:context;area:devloop;delivery:D-agent-context-coordination;horizon:frontier;lane:agent-coordination
polylogue-37t.8,2,open,open,feature,Resume routing: map a session to the harness invocation that reopens it,,cli;context,polylogue-37t,domain-implementation-slice,,regression-fixture,,,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/170_polylogue_37t_8.md,origin-only=1,records-landed-work+records-residual-work,cli,retain-distinct; no duplicate/contradiction found in this pass,2026-07-13T06:28:12Z,2026-07-13T06:28:12Z,area:cli;area:context;delivery:D-agent-context-coordination;horizon:frontier;lane:context-memory
polylogue-3tl.16,2,open,open,task,"Public claims view: evidence status over findings, judgments, and ancestry",,legibility,polylogue-3tl,domain-implementation-slice,"""blob cleanup cannot delete leased blobs"", ""one read contract across CLI/daemon/MCP/API/web"", ""agents write candidates, never trusted memory"") maps to bead IDs, schema versions, commands, fixtures, proof artifacts, and required validation lanes (see prework-v2/verification_lanes.md).",security/authorization;regression-fixture,polylogue-37t.14;polylogue-9e5.28;polylogue-9e5.29;polylogue-9e5.30;polylogue-cpf.5;polylogue-cpf.6;polylogue-rxdo.4;polylogue-svfj,,,docs/public-claims.yaml;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/060_polylogue_3tl_16.md;docs/findings/claim-vs-evidence.md;.agent/demos/uplift-two-arm;.agent/handoffs/polylogue-legibility-kit-2026-07-10/09-public-claims-ledger.yaml;devtools/public_claims.py;tests/unit/devtools/test_public_claims.py;docs/claims.yml,both=4;origin-only=3;missing/planned=1,records-landed-work+records-residual-work,legibility,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T18:34:52Z,2026-07-15T18:34:52Z,area:legibility;delivery:L-external-legibility;horizon:frontier;lane:docs-demos-launch;tech-tree
polylogue-4be,2,open,open,task,"Restore drill: prove the backups restore, quarterly",,ops,polylogue-8jg9,domain-implementation-slice,,live-evidence;operator-gate,,,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/033_polylogue_4be.md,origin-only=1,,ops,retain-distinct; no duplicate/contradiction found in this pass,2026-07-13T04:15:27Z,2026-07-13T04:15:27Z,area:ops;delivery:B-storage-rebuild-bytes;horizon:frontier;lane:operational-resilience;spine
polylogue-4s3c,2,open,open,task,Verify execution-control steady-state resource envelope at live scale,,unlabeled,,proof/verification-slice,,live-evidence;receipt/provenance;bounded-resource;regression-fixture,,polylogue-z9gh,,tests/benchmarks,both=1,records-landed-work,query-scale-proof,retain-distinct; no duplicate/contradiction found in this pass,2026-07-17T00:41:16Z,2026-07-17T00:41:16Z,
polylogue-4ts.5,2,open,open,feature,Compaction boundary-range columns + effective-context derivation,,lineage,polylogue-4ts,domain-implementation-slice,,live-evidence;schema/contract;regression-fixture,,,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/082_polylogue_4ts_5.md,origin-only=1,,lineage,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:54:53Z,2026-07-15T19:54:53Z,area:lineage;delivery:F-lineage-compaction;horizon:frontier;lane:lineage-compaction
polylogue-4ts.9,2,open,open,feature,Expose a seed-relative compact lineage graph,,lineage;query,polylogue-4ts,domain-implementation-slice,Always include the seed and page nodes and edges independently through the shared query transaction.,live-evidence;regression-fixture,polylogue-z9gh.9.1,polylogue-vv2b,,,no-explicit-paths,,lineage,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T04:24:06Z,2026-07-15T04:24:06Z,area:lineage;area:query;delivery:F-lineage-compaction;horizon:frontier;lane:lineage-compaction
polylogue-5k5l,2,in_progress,in_progress,feature,Browser-capture asset acquisition: fetch sandbox + file-service bytes at capture time,Sinity,browser;sources,polylogue-83u,domain-implementation-slice,,live-evidence;determinism/idempotency,,,,,no-explicit-paths,records-landed-work+records-residual-work,browser,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T03:44:53Z,2026-07-16T03:44:53Z,area:browser;area:sources;horizon:frontier
polylogue-5q2u,2,open,open,bug,Order rebuild replay by lineage to avoid deferred-tail amplification,,storage,polylogue-b5l,regression/repair-slice,,cancellation/cleanup;parity/completeness;security/authorization;mutation/falsification;regression-fixture,,polylogue-3wb,,tests/benchmarks/test_graph_resolve_deferred_tail.py;polylogue/sources/revision_backfill.py,both=2,records-residual-work,storage,retain-distinct; no duplicate/contradiction found in this pass,2026-07-12T02:43:59Z,2026-07-12T02:43:59Z,area:storage;horizon:frontier
polylogue-5wp,2,open,open,task,Declare materialization and freshness policy for every derived view,,insights;storage,polylogue-b5l,consolidation-owner,Class-mechanism promotion 2026-07-15: promoted P3 to P2 and absorbs polylogue-20d.8.,live-evidence;receipt/provenance;bounded-resource;parity/completeness;security/authorization;mutation/falsification;schema/contract,polylogue-0aj,polylogue-1xc.14;polylogue-20d.14;polylogue-38x,,,no-explicit-paths,records-residual-work,insights,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:48:01Z,2026-07-15T19:48:01Z,area:insights;area:storage;delivery:C-read-evidence-contract;horizon:mid;lane:read-contracts;refactor
polylogue-6o9b,2,open,open,bug,daemon: DB-backed and archive-backed session-detail routes compute different flattened message.text for identical content,,daemon;rendering,polylogue-a7xr,regression/repair-slice,,regression-fixture,,,,,no-explicit-paths,,daemon,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T11:18:07Z,2026-07-16T11:18:07Z,area:daemon;area:rendering;discovered-from:dogfood-2
polylogue-703,2,open,open,task,"One status assembly: daemon/status.py, cli/commands/status.py, and workload diagnostics converge",,daemon;surface,polylogue-t46,surface/adaptation-slice,"The convergence-snapshot bead (4bu) defines the shared payload for converging-state; this bead is the structural follow-through: ONE status assembly module in the substrate computes every shared fact once; daemon HTTP, CLI, and diagnostics become renderers.",bounded-resource;parity/completeness;schema/contract;regression-fixture,,,,,no-explicit-paths,records-residual-work,status-snapshots,supersede/close into 20d.17,2026-07-16T11:44:52Z,2026-07-16T11:44:52Z,area:daemon;area:surface;delivery:C-read-evidence-contract;delivery:ac-patched;horizon:frontier;lane:read-contracts;refactor
polylogue-7aw,2,open,open,feature,Bind every session to versioned agent configuration evidence,,analytics;ingest,polylogue-2qx,domain-implementation-slice,Classification and migration of static identity/reference/state/lesson content remains an evidence consumer; judged setup changes belong to polylogue-37t.10 rather than an auto-edit path here.,live-evidence;receipt/provenance;parity/completeness;regression-fixture,,polylogue-37t.10;polylogue-h6r,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/102_polylogue_7aw.md,origin-only=1,records-residual-work,analytics,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:52:05Z,2026-07-15T19:52:05Z,area:analytics;area:ingest;delivery:K-interop-origin-export;horizon:mid;lane:origin-interop-export
polylogue-7ey6,2,open,open,task,"Schema-conditional test skips must fail, not skip, in a full checkout",,test,polylogue-88jp,domain-implementation-slice,"Skips should express environmental impossibility, not absorb repo damage.",schema/contract;regression-fixture,,,,tests/unit/core/test_synthetic_semantics.py;tests/unit/core/test_schema_annotation_contracts.py;tests/infra;tests/integration/test_installed_package_smoke.py,both=4,records-residual-work,test,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:53:05Z,2026-07-15T19:53:05Z,area:test;horizon:frontier
polylogue-7uqr,2,open,open,bug,Converger process-pool machinery is dead and diverges between file and batch paths,,unlabeled,,regression/repair-slice,,parity/completeness,,,,docs/CLAUDE.md,missing/planned=1,,unlabeled,retain-distinct; no duplicate/contradiction found in this pass,2026-07-17T00:45:04Z,2026-07-17T00:45:04Z,
polylogue-83u.2,2,open,open,feature,Attachment byte acquisition for non-inline sources (Drive/zip/local),,attachments;storage,polylogue-83u,consolidation-owner,Do not trust that packets anchors for 83u.2; this note supersedes it.,live-evidence;determinism/idempotency;regression-fixture,,,,tests/unit/sources/;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/036_polylogue_83u_2.md;browser_capture/models.py,origin-only=1;missing/planned=1;symbolic=1,records-landed-work+records-residual-work,attachments,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T17:58:33Z,2026-07-15T17:58:33Z,area:attachments;area:storage;delivery:B-storage-rebuild-bytes;horizon:frontier;lane:blob-integrity
polylogue-83u.3,2,open,open,feature,Preserve uploaded attachment bytes in live browser capture,,attachments;storage,polylogue-83u,domain-implementation-slice,,live-evidence;determinism/idempotency;schema/contract;regression-fixture,,,,polylogue/daemon/http.py;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/035_polylogue_83u_3.md,both=1;origin-only=1,,attachments,retain-distinct; no duplicate/contradiction found in this pass,2026-07-08T20:14:28Z,2026-07-08T20:14:28Z,area:attachments;area:storage;delivery:B-storage-rebuild-bytes;horizon:frontier;lane:blob-integrity
polylogue-83u.6,2,open,open,task,Complete the attachment acquisition before/after census,,attachments;audit;storage,polylogue-83u,domain-implementation-slice,,mutation/falsification;schema/contract,polylogue-5k5l;polylogue-83u.2;polylogue-83u.3,,,.agent/demos/attachment-acquisition-census/regenerate.sh;polylogue/storage/blob_store.py;.agent/handoffs/polylogue-deep-research-2026-07-09/;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/037_polylogue_83u_6.md,both=1;origin-only=2;symbolic=1,records-landed-work+records-residual-work,attachments,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T17:16:12Z,2026-07-16T17:16:12Z,area:attachments;area:audit;area:storage;delivery:B-storage-rebuild-bytes;lane:blob-integrity
polylogue-88jp,2,open,open,epic,Verification risk model: spend test effort where failures can escape,,verification,,program/invariant-container,"Absorbs remaining metric-only scope of c52g, znwj, and n4hb; their landed PR #2787 behavior tests become evidence inputs.",security/authorization;mutation/falsification;schema/contract;regression-fixture,,polylogue-09rn,,,no-explicit-paths,records-landed-work+records-residual-work,verification-risk,retain program container; do not execute as a leaf,2026-07-15T19:19:39Z,2026-07-15T19:19:39Z,area:verification;delivery:M-substrate-consolidation;horizon:frontier;lane:verification-readiness
polylogue-8jg9.3,2,open,open,task,SLO samples + idle-vs-stalled verdict: steady-state observability over convergence,,daemon;ops,polylogue-8jg9,domain-implementation-slice,,regression-fixture,,,,,no-explicit-paths,,daemon,retain-distinct; no duplicate/contradiction found in this pass,2026-07-08T20:14:30Z,2026-07-08T20:14:30Z,area:daemon;area:ops;delivery:B-storage-rebuild-bytes;horizon:mid;lane:storage-rebuild-scale;spine;tech-tree
polylogue-8jg9.6,2,open,open,feature,Persist logical archive lineage across tier generations and restores,,ops;storage,polylogue-8jg9,domain-implementation-slice,,receipt/provenance;cancellation/cleanup;determinism/idempotency;restart/crash;security/authorization;mutation/falsification;schema/contract;operator-gate,,polylogue-fd2s;polylogue-nkmy;polylogue-s8q,,,no-explicit-paths,records-landed-work+records-residual-work,ops,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T16:19:39Z,2026-07-16T16:19:39Z,area:ops;area:storage;delivery:B-storage-rebuild-bytes;horizon:frontier;horizon:mid;lane:operational-resilience;spine
polylogue-9e5.10,2,open,open,task,Measure resume-context efficacy from exact delivery evidence,,audit;context,polylogue-9e5,domain-implementation-slice,,live-evidence;mutation/falsification;schema/contract,polylogue-nas1,,,,no-explicit-paths,,audit,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T17:16:19Z,2026-07-16T17:16:19Z,area:audit;area:context;delivery:A-trust-floor;horizon:mid;lane:agent-write-safety
polylogue-9e5.31.2,2,open,open,task,Adopt closure policies across every authoritative definition family,,audit;devtools;verification,polylogue-9e5.31,canonical-authority-owner,"Seeded missing-edge mutations in at least one registry, storage/lifecycle family, and cross-surface operation remain detected.",live-evidence;bounded-resource;mutation/falsification;schema/contract;regression-fixture,polylogue-9e5.31.1,,,,no-explicit-paths,records-residual-work,audit,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T18:40:53Z,2026-07-15T18:40:53Z,area:audit;area:devtools;area:verification;horizon:mid
polylogue-9l5,2,open,open,epic,Outcome-grounded analytics: the archive answers 'so what' questions,,analytics,,program/invariant-container,,parity/completeness,,,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/179_polylogue_9l5.md,origin-only=1,,analytics,retain program container; do not execute as a leaf,2026-07-15T19:37:34Z,2026-07-15T19:37:34Z,area:analytics;delivery:I-analytics-experiments;horizon:mid;lane:analytics-experiments
polylogue-9l5.6,2,open,open,feature,tool-episodes projection: call + result + outcome + context + next action,,analytics;query,polylogue-9l5,surface/adaptation-slice,,bounded-resource;cancellation/cleanup;parity/completeness;restart/crash;schema/contract;regression-fixture,polylogue-z9gh.2,polylogue-1vpm;polylogue-9l5.7.2;polylogue-j2zz;polylogue-z9gh.9.1,,polylogue/storage/insights/session/;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/182_polylogue_9l5_6.md,origin-only=1;symbolic=1,,analytics,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:23:15Z,2026-07-15T19:23:15Z,area:analytics;area:query;delivery:I-analytics-experiments;horizon:frontier;lane:analytics-experiments
polylogue-9l5.7,2,open,open,epic,Compose honest analytics over canonical metric definitions,,analytics;query,polylogue-9l5,program/invariant-container,"Polylogue needs one analytics validity pipeline, but the former feature combined canonical metric registration, coverage/authority enforcement, DSL composition, basic aggregates, comparative statistics, intervals, effect sizes, and rendering.",parity/completeness;mutation/falsification;schema/contract,,polylogue-3uw;polylogue-9e5.28;polylogue-9e5.29;polylogue-9e5.30;polylogue-9l5.18;polylogue-9l5.19;polylogue-cpf.5;polylogue-cpf.6;polylogue-cuxz.2;polylogue-f2qv.1;polylogue-f2qv.2;polylogue-f2qv.3;polylogue-f2qv.4;polylogue-f2qv.5;polylogue-rxdo.9.1,,tests/distances;.agent/handoffs/polylogue-gpt-pro-2026-07-06/bundles/rnd-bundle-2-of-6.md;.agent/handoffs/polylogue-gpt-pro-2026-07-06/B-A16-measure-registry.md;.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/116_polylogue_9l5_7.md;polylogue/analytics/stats.py,origin-only=3;missing/planned=2,records-landed-work,analytics,retain program container; do not execute as a leaf,2026-07-15T19:27:26Z,2026-07-15T19:27:26Z,area:analytics;area:query;delivery:I-analytics-experiments;horizon:mid;lane:analytics-experiments;spine;wave:2
polylogue-9l5.7.2,2,open,open,feature,"Land canonical metric validity, composition, and honest rendering",,analytics;query;substrate,polylogue-9l5.7,canonical-authority-owner,"Implement the minimum high-leverage analytics substrate: consume canonical MetricDefinition identities, enforce construct/frame/authority/denominator/null/confound contracts, compose aggregates through the query algebra, and render EvidenceValue-compatible results.",receipt/provenance;parity/completeness;mutation/falsification;schema/contract,polylogue-cuxz.2;polylogue-o21.1;polylogue-rxdo.9.1,polylogue-9l5.13;polylogue-9l5.5;polylogue-9l5.6;polylogue-bby.3,,,no-explicit-paths,records-landed-work,analytics,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T18:53:03Z,2026-07-15T18:53:03Z,area:analytics;area:query;area:substrate;horizon:frontier
polylogue-a7xr.18,2,open,open,task,Apply the archive write-effects gateway to every declared write family,,storage;substrate,polylogue-a7xr,domain-implementation-slice,The canonical write-effects contract is only true for ingest.,parity/completeness;determinism/idempotency;mutation/falsification;schema/contract;regression-fixture,,polylogue-0aj;polylogue-9e5.31,,polylogue/archive/write_effects.py,both=1,,storage,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T01:50:40Z,2026-07-15T01:50:40Z,area:storage;area:substrate;delivery:M-substrate-consolidation;horizon:frontier;lane:substrate-consolidation;spine
polylogue-a7xr.19,2,open,open,task,Close runtime artifact graph and strict scenario coverage,,substrate;test,polylogue-a7xr,canonical-authority-owner,"devtools lab graph --strict exits 0 and is run by a publish-boundary verification command; deleting one registry edge, lifecycle target, or cross-surface operation proof makes it fail.",mutation/falsification;schema/contract,,polylogue-9e5.31;polylogue-t46,,docs/tests,missing/planned=1,,substrate,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T01:51:15Z,2026-07-15T01:51:15Z,area:substrate;area:test;delivery:M-substrate-consolidation;horizon:frontier;lane:substrate-consolidation;spine
polylogue-a7xr.20,2,open,open,chore,Remove the orphaned legacy pipeline stage subsystem,,pipeline;substrate,polylogue-a7xr,canonical-authority-owner,"Confirm the current production ingest/convergence routes own each behavior, move the one reusable schema-generation helper to its actual service/demo owner, point OperationSpec code_refs at the real acquire actuator, then delete run_stages.py, stage_specs.py, and tests that only memorialize the dea…",live-evidence;security/authorization;mutation/falsification;schema/contract;regression-fixture,,polylogue-9e5.31,,,no-explicit-paths,records-landed-work+records-residual-work,pipeline,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T01:51:30Z,2026-07-15T01:51:30Z,area:pipeline;area:substrate;delivery:M-substrate-consolidation;horizon:frontier;lane:substrate-consolidation;spine
polylogue-ap7,2,open,open,epic,Semantic transcript renderer registry across normalized tool families,,legibility;surface;web,polylogue-fnm,program/invariant-container,"Polylogue must render typed work semantics—shell, edit/write, file reads/search, task/delegation, web, MCP, attachments, lineage, and unknown tools—through one provider-neutral semantic-card registry shared by terminal and web readers.",bounded-resource;schema/contract;regression-fixture,,polylogue-1ilk;polylogue-1lm;polylogue-37km;polylogue-4p1,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/158_polylogue_ap7.md;polylogue/sources/parsers/chatgpt.py;.agent/handoffs/polylogue-legibility-kit-2026-07-10/fork-prompts/04-polylogue-semantic-renderer.md;.agent/reports/chatgpt-pro-branch-assimilation-2026-07-11.md;tests/visual;docs/schemas/semantic-card-v1.schema.json;tests/unit/rendering/test_semantic_cards.py;tests/visual/test_reader_semantic_cards.py;tests/unit/daemon/test_daemon_http_contracts.py,both=6;origin-only=3,records-landed-work+records-residual-work,legibility,retain program container; do not execute as a leaf,2026-07-15T18:32:09Z,2026-07-15T18:32:09Z,area:legibility;area:surface;area:web;delivery:C-read-evidence-contract;horizon:frontier;lane:read-contracts
polylogue-ap7.1,2,open,open,task,Complete semantic-card family coverage and bounded lineage parity,,legibility;rendering;surface,polylogue-ap7,domain-implementation-slice,,receipt/provenance;bounded-resource;parity/completeness;mutation/falsification;schema/contract;regression-fixture,,,,,no-explicit-paths,records-landed-work+records-residual-work,legibility,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T18:10:14Z,2026-07-15T18:10:14Z,area:legibility;area:rendering;area:surface;horizon:frontier
polylogue-b054.1.1.2,2,open,open,task,Reduce xdist worker memory amplification without sacrificing throughput,,architecture;beads;test-harness,polylogue-b054.1.1,domain-implementation-slice,,receipt/provenance;bounded-resource;cancellation/cleanup;schema/contract;regression-fixture,,,,,no-explicit-paths,records-landed-work,architecture,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T10:59:05Z,2026-07-16T10:59:05Z,agent-readiness;area:architecture;area:beads;area:test-harness;horizon:frontier;invariant;performance;verification
polylogue-buns,2,open,open,task,Model multi-acquisition provenance for content-identical raw captures,,substrate,polylogue-2qx,domain-implementation-slice,,receipt/provenance;regression-fixture,,polylogue-2ilz,,,no-explicit-paths,,substrate,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:41:17Z,2026-07-15T19:41:17Z,area:substrate;horizon:frontier
polylogue-cnu3,2,open,open,task,Make every ingest attempt outcome structurally queryable,,sources,polylogue-2qx,domain-implementation-slice,"Invariant reformulation 2026-07-15: expands the validation-rejection tag into the shared ingest-attempt outcome contract needed by OriginSpec coverage, retry policy, and operator remediation.",receipt/provenance;bounded-resource;cancellation/cleanup;determinism/idempotency;security/authorization;mutation/falsification;schema/contract;regression-fixture,,polylogue-fs1.15;polylogue-iwmt,,,no-explicit-paths,,sources,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:41:18Z,2026-07-15T19:41:18Z,area:sources;discovered-from:polylogue-9e5.12;horizon:frontier
polylogue-cuxz.1,2,open,open,task,Retrofit time_confidence contract into predecessor consumers + ArchiveStore reads,,storage,polylogue-cuxz,domain-implementation-slice,,receipt/provenance;parity/completeness;regression-fixture,polylogue-cuxz.2,,,,no-explicit-paths,records-landed-work+records-residual-work,storage,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:27:26Z,2026-07-15T19:27:26Z,area:storage;horizon:frontier
polylogue-cuxz.3,2,open,open,task,Migrate fact families and renderers to declared EvidenceValue axes,,substrate;surface,polylogue-cuxz,surface/adaptation-slice,,parity/completeness;mutation/falsification;schema/contract;regression-fixture,polylogue-cuxz.1;polylogue-cuxz.2,,,,no-explicit-paths,records-residual-work,substrate,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T18:17:30Z,2026-07-15T18:17:30Z,area:substrate;area:surface;horizon:mid
polylogue-cxlk,2,open,open,bug,config.py: nested-table TOML merge is full-replace not deep-merge (health.convergence_debt / health.cursor_lag),,config,polylogue-9gh1,regression/repair-slice,,regression-fixture,,,,,no-explicit-paths,records-landed-work,config,retain-distinct; no duplicate/contradiction found in this pass,2026-07-16T11:03:09Z,2026-07-16T11:03:09Z,area:config;discovered-from:dogfood-2
polylogue-d22s,2,open,open,task,Route ops embed resolve-failure mutation through the daemon writer,,daemon,polylogue-kwsb.2,canonical-authority-owner,"Follow-up from #2796 review (CodeRabbit Major, accepted as debt): polylogue ops embed resolve-failure writes embeddings.db directly from the CLI process, bypassing the daemon single-writer boundary.",receipt/provenance;security/authorization;mutation/falsification;schema/contract,,polylogue-20d,,,no-explicit-paths,records-residual-work,daemon,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:53:05Z,2026-07-15T19:53:05Z,area:daemon;horizon:frontier
polylogue-d45p,2,open,open,feature,Maintain an evidence-backed verification failure ledger,,devloop;test,polylogue-88jp,domain-implementation-slice,,determinism/idempotency;security/authorization;mutation/falsification;regression-fixture,,polylogue-9e5.11;polylogue-wple,,,no-explicit-paths,,devloop,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:35:14Z,2026-07-15T19:35:14Z,area:devloop;area:test;horizon:frontier
polylogue-da1,2,open,open,feature,Provider format-drift sentinel: detect upstream export-shape changes from live ingest,,daemon;sources,polylogue-2qx,domain-implementation-slice,,bounded-resource;schema/contract;regression-fixture,,polylogue-38x,,.agent/handoffs/polylogue-gpt-pro-2026-07-07/prework-v2/task_packets/101_polylogue_da1.md,origin-only=1,records-residual-work,daemon,retain-distinct; no duplicate/contradiction found in this pass,2026-07-15T19:47:09Z,2026-07-15T19:47:09Z,area:daemon;area:sources;delivery:K-interop-origin-export;horizon:frontier;lane:origin-interop-export
