order,wave,id,priority,type,status,parents,hard_prerequisites,title,intent,done_when
102,0,polylogue-rxdo.2,2,task,open,polylogue-rxdo,,Content-addressed query identity + durable user.db queries/query_names/result_sets/query_edges,query:<hash> keyed on the canonical planned AST AFTER macro expansion (mirrors content-hash idempotency: equivalent queries collapse).,Same query text with reordered AND operands yields one query hash; @macro repoint does not change the hash of past runs; user-tier migration preserves all existing assertions (parity test); set-algebra grain is part of result-set identity so cross-grain member keys cannot collide.
103,0,polylogue-rxdo.3,2,task,open,polylogue-rxdo,,Query-run + result-relation telemetry in ops.db; refs on every query envelope,"Every COMMITTED query execution (CLI, MCP, daemon web, API) records an ops.db query_runs row (actor, surface, verb, request+lowered spec, archive epoch, timing, status, degraded state) and a result fingerprint + bounded sample refs; the query response envelope gains query_run_ref + result_set_ref + grain + count_precision.",CLI --json and MCP query responses carry the three refs for the same committed query (parity test); routine preview typing produces zero rows; a promoted run survives ops.db reset.
104,0,polylogue-rxdo.4,2,task,open,polylogue-rxdo,,"AssertionKind.FINDING: claims with evidence, reusing the candidate->judge lifecycle verbatim","A finding is a durable claim (n, statistic, query_ref, result_set_ref, expected) produced by a detector/agent/analysis, stored as an assertion row so the ENTIRE existing lifecycle (candidate default, judge_assertion_candidate accept/reject/defer/supersede, judgment recorded as assertion, promotion flips inject gate) is reused with zero new lifecycle code — exactly the pathology pattern in user_write.py.",upsert_findings_as_assertions mirrors the pathology writer; findings appear in the judgment queue; finding refs resolve; regenerated schemas + user_audit pass; a re-run with identical inputs produces zero new rows.
105,1,polylogue-rxdo.7,2,task,open,polylogue-rxdo,"polylogue-37t.15, polylogue-rxdo.1","Annotation substrate: schema registry, annotation batches, JSONL import surface, typed value predicates",The missing loop for external-agent analysis: export evidence pack -> agent labels rows under a declared schema -> import as candidate assertions -> query them back -> judge -> report.,"Roundtrip demo: export a bounded evidence pack, import 5 labeled rows as candidates, query them via assertions where with a typed value predicate, judge one active, render."
106,0,polylogue-svfj,2,task,open,,,Block content-hash citation anchors: blocks.content_hash + resolver with typed drift states,"THE anchor atom multiple programs stand on (webui cockpit citations, finding evidence refs rxdo.4, drift detection 37t.14, compaction loss anchors gjg.3, export citations).",Anchor created pre-re-ingest resolves post-re-ingest as ok or drifted_position (verified content); a fork replay resolves relocated_lineage with the inheritance edge cited; ambiguous returns candidates; hash_mismatch never auto-rewrites.
107,1,polylogue-bby.15,2,task,open,polylogue-bby,polylogue-svfj,Evidence basket -> citable report -> verified export (cockpit core loop),"The missing ""report"" end of the web workbench: select blocks/spans in the reader -> basket (content-hash anchors + quote + note + provenance of the query that surfaced it) -> live Markdown report draft with footnotes -> EXPORT GATE re-resolves every citation and blocks/flags by state (ok + drifted_position export with verified note; drifted_message/relocated need explicit promotion; ambiguous/missing block by default; quarantined blocks unless the report is explicitly forensic; hash_mismatch ha…",Full loop on the seeded demo corpus: query -> basket 5 items -> draft renders footnotes -> re-ingest the corpus -> verify flags the drifted item and export annotates it; a deleted block blocks export with a typed reason.
108,0,polylogue-t0p,2,task,open,polylogue-l4kf,,"Capture the rest of Claude Code: todos, file-history, prompt history, debug artifacts","Session JSONL is one artifact among many that Claude Code writes, and the others answer questions transcripts cannot: ~/.claude/todos/*.json = the agent's live PLAN state per session (task lists with status — plan-vs-execution comparison becomes structural); file-history/ = pre-edit file snapshots (ground truth for the yrx changes view, catches what tool-log reconstruction misses); history.jsonl = the operator's prompt history across sessions (paste-detection and prompt-reuse analytics); histor…",Todos and file-history ingest end-to-end from the live machine into artifact kinds with provenance; plan-vs-outcome measure registered (9l5.7) with tier=structural; yrx cross-check lane reports agreement rate between reconstructed and snapshot diffs; watcher covers the new roots; fidelity declared per artifact kind.
109,0,polylogue-t46.3,2,task,open,polylogue-t46,,"Unify list/search query-spec->ArchiveStore execution across CLI, MCP, and daemon web","Three surfaces re-map the query DSL/params to ArchiveStore filter args and each own pagination/total/cursor: daemon http.py:1902 _do_archive_list_sessions (+ the _do_archive_* fast-path family), mcp/archive_support.py:254-379 archive_session_list_payload/archive_search_payload, and cli/archive_query.py:674/787/815 _query_hits/_paginate_rows/_build_cursor.","CLI find, MCP archive_list_sessions/archive_search_sessions, and daemon /api/sessions return the same total and page boundaries for identical filters (parity test across the three surfaces); the per-surface spec->filter mapping and total/cursor logic is deleted in favor of one execution helper (grep shows no second query_terms/contains merge); the two MCP list surfaces converge to one total semantic; devtools verify green."
110,0,polylogue-t46.4,2,task,open,polylogue-t46,,Delegate daemon session-similarity KNN to SqliteVecProvider.query_by_session,"daemon/similarity.py re-implements session-seeded vector ranking (raw MATCH/k SQL over message_embeddings, per-session best-distance aggregation, matched-message count, L2->cosine in _l2_to_cosine_similarity:217) that storage/search_providers/sqlite_vec_queries.py:143 SqliteVecProvider.query_by_session already does -- the substrate file even comments that the daemon's _PER_MESSAGE_K mirrors it.",daemon _knn_for_embedding/_aggregate_hits/_l2_to_cosine_similarity are deleted; /api/similar ranking equals SqliteVecProvider.query_by_session ordering for a seed session (parity test); the sqlite_vec_queries comment about mirroring _PER_MESSAGE_K is removed because there is no longer a mirror; devtools verify green.
111,0,polylogue-t46.5,2,task,open,polylogue-t46,,Route CLI transcript/dialogue file export through substrate read+render; delete streaming_markdown SQL path,"cli/read_views/streaming_markdown.py forks the whole read path for `read --view transcript/dialogue --to file` markdown exports: its own read-only index.db connection, ref resolution (_resolve_session_id), prefix-sharing lineage gating in raw SQL (_has_prefix_sharing_edge), _table_exists, and the message+block keyset join + block filtering -- duplicating api get_session/get_messages_paginated/read_archive_session_envelope + rendering/core_markdown + rendering/blocks.",streaming_markdown.py raw-SQL read helpers are deleted; transcript/dialogue --to file markdown for a prefix-sharing (forked/resumed) session composes the full lineage identically to stdout output (test compares file export bytes vs the substrate transcript for a forked session); block filtering (reasoning/prose) matches the substrate projection; devtools verify green.
112,0,polylogue-t46.6,2,task,open,polylogue-t46,,Fix referenced_path OR-vs-AND filter divergence and delete dead CLI stats aggregators,"cli/query_semantic.py:63 referenced_path_matches_slice uses any(term...) (OR-of-terms) for multi-term referenced_path while the substrate archive/query/runtime_matching.py:35 uses all(term...) (AND-of-terms), so the semantic-stats surface selects different sessions than the actual query filter -- a live correctness divergence.",A two-term referenced_path query returns the same session set from the semantic-stats surface and from the query filter (regression test); referenced_path_matches_slice/action_matches_slice and the dead query_stats aggregators are deleted (grep confirms callers gone); origin/date/tool/work-kind grouping goes through stats_by; devtools verify green.
113,0,polylogue-t46.8,2,task,open,polylogue-t46,,MCP surface collapse: ~96 tools -> verb algebra (query/get/explain/context/assert/maintenance...),The MCP surface (96 tools live) is a discovery burden and a maintenance trap (every tool = contract + names + regen).,Verb set + resources + prompts cover every retired tool proven by goldens; EXPECTED_TOOL_NAMES shrinks with equivalence evidence per deletion; discovery tests + contracts regenerated; no capability regression reported by the golden suite.
114,0,polylogue-t8t,2,task,open,polylogue-s7ae,,"Agent workflow catalog: walk the seven core flows end-to-end, fix what breaks","Affordances exist in pieces; nobody has walked the actual workflows end-to-end: (1) RESUME — arrive in repo, recover context, continue; (2) FORENSIC DEBUG — did a past session touch this; (3) PRIOR ART — has anything explored this approach; (4) DECISION LOOKUP — what did we decide and why; (5) POSTMORTEM WRITE — close the loop after failure (37t.7); (6) COST CHECK — what has this repo/task cost; (7) SELF-INSPECTION — agent reads its own live session mid-flight (raw-log 05-28; needs hook-fresh i…",Seven registry entries; seven archived walk transcripts; every gap filed as a linked bead; rendered catalog lists measured tokens+latency per flow; self-inspection demonstrates an agent reading its own in-progress session.
115,0,polylogue-th0,2,task,open,,,"Interactive-surface test harness: pty flows, completions, fuzzy pickers","The suite (248k lines) is strong on units/properties/snapshots and blind on exactly the surfaces the UX program is now building: nothing drives a real pty, so fzf select flows, the coming judge TUI (p5g), bare-invocation triage (jnj.13), pager behavior, and terminal-width/color rendering are untested by construction; shell completions (fnm.4) have no correctness harness at all (a broken completion script fails silently forever); interactive-ambiguity moments (jnj.11) can regress without any red…",PTY harness runs 5+ golden flows green in CI serial lane; completion contract tests are registry-generated and fail when a unit is added without completion metadata; a deliberate fzf-flow regression (reordered candidates) is caught by the harness in a demonstration commit.
116,0,polylogue-x4s,2,task,open,polylogue-rii,,Express devloop state in Polylogue substrate (dogfood target),Raw-log 2026-07-03: 'perhaps devloops themselves could be expressed in sinex and/or polylogue and/or beads?'.,- First writers for the handoff/run_state assertion kinds are added to user_write.py (the kinds already exist in the enum with no writer — grep confirms the new helpers); devloop-handoff / devloop-focus dual-write into user.db while markdown stays authoritative.
117,0,polylogue-x7d,2,task,open,polylogue-jnj,,Unify root query row rendering contracts,"The bounded find fix had to patch three projection/rendering paths: archive_query root rows, query_output deterministic rows, and select rows.","- A shared row-projection helper/value object exists for session-list rows and search-hit rows with explicit budgets (title 96 / table budget, snippet 320), single-line normalization, and separate full-read expansion."
118,0,polylogue-xgw,2,task,open,polylogue-1xc,,Archive schema hygiene for evidence-cockpit read paths,"Targeted schema-extension/hygiene (unsafe joins, JSON checks, durable-row rules) — not a rewrite.","- Each cockpit read-path hygiene item is enumerated in the PR (unsafe join, missing JSON check, durable-row rule) with the specific query/column it applies to; fixes are additive (CREATE INDEX / CHECK / ADD COLUMN), not a rewrite."
119,0,polylogue-yeq,2,task,open,,,"Advanced verification lanes: metamorphic DSL, daemon chaos, API-contract walks","Beyond coverage-by-example, three method upgrades the suite lacks: (1) METAMORPHIC testing for the query engine — the DSL has algebraic laws (filter commutativity, pipeline-stage composition vs post-hoc filtering, unit-count consistency between find and aggregate paths) that hold for ALL queries, not just the ones we thought to write; hypothesis can generate queries from the grammar and assert the laws, catching lowering bugs example tests never will (the sessions-vs-observed-events pipeline in…",Metamorphic lane finds-or-proves: run against the current engine and either file real bugs or commit the laws as green properties; chaos lane demonstrates one seeded crash-recovery invariant per staged kill point; ref-walk lane covers 100% of list-emitting routes/tools and fails on a deliberately broken ref in a demonstration commit.
120,0,polylogue-a7xr.10,2,chore,open,polylogue-a7xr,,Kill-or-adopt the search-provider lane: production bypasses the abstraction it should use,VERIFIED 2026-07-06: FTS5Provider/HybridSearchProvider/factories have zero production call sites — only their own tests import them.,"A decision recorded WITH mhx.3 (adopt or kill, one paragraph of why); if adopt: all production retrieval flows through the lane interface, inline fusion in archive_query.py gone, mhx.3 bake-off consumes the lanes, goldens unchanged; if kill: zero references remain, mhx.3 notes it owns lane construction."
121,0,polylogue-a7xr.11,2,chore,open,polylogue-a7xr,,Prune protocols.py zero-consumer protocols + dead repo kwarg query surface + cursor mapping bug,"VERIFIED 2026-07-06: 6 of 14 protocols in protocols.py have zero consumers anywhere (SessionReader, SearchStore, ArchiveMessageQueryStore, SemanticArchiveQueryStore, SessionSemanticStatsStore, SessionArchiveReadStore) — violating the module's own docstring rule ('only protocols with 2+ implementations earn their existence').",protocols.py contains only consumed protocols (each with a named consumer in a comment); dead kwarg surface gone; cursor mapping resolved (deleted or actually wired); mypy strict green; ~600 LOC removed.
122,0,polylogue-20d.1,2,feature,open,polylogue-20d,,CLI->daemon fast path over UDS (persistent hot process),"Route CLI queries through the already-hot daemon when available: skips import cost, warm SQLite page cache, shared readiness state.","- Fast-path read surface: `--verbose` prints `served-by: daemon (uds, <ms>)` and a warm daemon serves find/read/messages/facets within the 20d.14 interactive-tier budget (target 3.6-17s -> 0.3-0.5s wall)."
123,1,polylogue-20d.12,2,feature,open,polylogue-20d,polylogue-20d.1,"Daemon result cache + post-ingest warming: precomputed answers, cursor-keyed invalidation","The fast path (20d.1) makes the daemon reachable in milliseconds; this bead makes the daemon WORTH reaching: today every facets/status/aggregate request recomputes from SQLite (live evidence: /api/facets defers repos+action_types by default, was stuck 'loading...",bench slo (interactive tier): cached facets/status p50 <30ms on the seeded corpus with warm daemon.
124,0,polylogue-20d.13,2,feature,open,polylogue-20d,,Daemon push channel: SSE events for live UIs instead of polling,"Everything live currently polls: the webui polls for facets/status, live tailing (bby.4) would poll, CLI watch modes would poll.",A subscribed browser receives session.ingested within 2s of ingest commit on the seeded corpus.
125,0,polylogue-37t.1,2,feature,open,polylogue-37t,,Assertions: consumer wiring + lifecycle tightening for unified overlays,"Assertion substrate is the live path; remaining work is consumer wiring + lifecycle (promotion, staleness, expiry).","- First writers exist for the three currently-unwired AssertionKinds (handoff, prompt_eval, highlight — present-but-writerless at core/enums.py:409/423/426) and each passes the user_audit every-kind-has-a-surface invariant with a registered ObjectRef scope_ref/author_ref."
126,0,polylogue-37t.12,2,feature,open,polylogue-37t,,Judgment queue: operator bulk review/accept/reject of candidate assertions,WHY: 37t's loop names four stages (claims -> JUDGMENT -> preamble -> reboot) but only JUDGMENT has no owning bead.,"MCP: 'judge_assertion_candidate' and 'list_assertion_candidates' tools exist on the operator/agent-write MCP role, listed in EXPECTED_TOOL_NAMES with TOOL_CONTRACT entries; a candidate written by an agent (author_kind='agent', status='candidate') is listable and can be accepted/rejected via the MCP tool, and an accepted candidate produces a new ACTIVE assertion (verify via list_assertion_claims statuses=active)."
127,1,polylogue-37t.11,1,feature,open,polylogue-37t,"polylogue-37t.15, polylogue-37t.12",Context scheduler: one arbiter for everything that enters an agent's context,"The missing 40% of the OS-vision design, and the coherence fix for a real fragmentation risk: as of today SEVEN independent mechanisms want to write into agent context, each with its own budget rules — repo brief + resume delta (37t.4), semantic recall (mhx.4), SRS-due lessons (rvh), blackboard messages (1hj), PreToolUse/prompt advisories (bfv), compaction re-grounding (gjg), and the affordance-index pointer (pj8).",ContextSource protocol + scheduler in context/compiler.py with deterministic assembly (property test: same inputs -> byte-identical context); 37t.4's sections migrated as the first two sources; budget invariants enforced (property test: never exceeds moment budget at any source combination); ledger rows written per injection and readable via CLI + MCP; cross-source dedup demonstrated (advisory suppresses same-ref blackboard item in a seeded scenario).
128,2,polylogue-s7ae.3,1,feature,open,polylogue-s7ae,polylogue-37t.11,Coordination messages and subtle scheduler-mediated advisories,"Why: multi-agent cooperation needs lightweight communication and awareness, but not a noisy chatroom or hardcoded workflow police.","Agents can post and receive scoped coordination messages with refs/provenance, using existing blackboard/user-state machinery where viable."
129,3,polylogue-s7ae.5,1,task,open,polylogue-s7ae,"polylogue-37t.11, polylogue-s7ae.3","Live proof: two agents, separate worktrees, one repo — overlap, message, context, handoff","Realize the epic s7ae HEADLINE acceptance line ('A live proof demonstrates at least two agents on one repo with separate worktrees, visible overlap/resource awareness, a scoped coordination message, context injection, and a handoff packet') — currently owned by no child.","A committed, reproducible proof exists (run script + captured before/after JSON envelope artifacts under a devtools workspace path) demonstrating: two agents on one repo in separate worktrees; each envelope shows the other as a same-repo peer with overlap + resource-episode awareness; exactly one scoped coordination message posted and observed as delivered/addressed in the recipient's envelope; context injection recorded via the 37t.11 ledger; a handoff packet produced and referenced by both ag…"
130,1,polylogue-37t.4,2,task,open,polylogue-37t,polylogue-37t.12,SessionStart preamble opt-in rollout (polylogue + sinnix repos),"Wire compose_context_preamble into SessionStart hooks per-project via .claude/settings.json, polylogue + sinnix first (operator decision).","- compose_context_preamble is wired into the existing SessionStart hook (upgrading sessionstart-polylogue-recall.sh, not adding a second hook) for polylogue + sinnix."
131,0,polylogue-37t.2,2,feature,open,polylogue-37t,,Inline annotation protocol: agent-authored structure in plain prose,Agents write structured markers in prose; extraction at block enrichment turns them into candidate assertions with evidence refs.,- Final sigil chosen after a corpus collision scan: grep the live archive for candidate-prefix false positives and record the scan result in the PR.
132,0,polylogue-37t.3,2,feature,open,polylogue-37t,,Reboot-with-refs: session self-compaction protocol,Agent reboots into a fresh session carrying all prose verbatim with every tool exchange collapsed to a one-line expandable ref — better than harness compaction because refs resolve via resolve_ref.,- compile_context with a new prose_with_refs segment profile emits authored prose verbatim while every tool_use/result collapses to a one-line '<ref:action:...>' marker.
133,0,polylogue-37t.6,2,feature,open,polylogue-37t,,Session-aware devshell entry: surface what the last agent session left behind,"On cd/direnv entry, print what the last agent session in this cwd left: unresolved blackboard blocker/question notes, the last session's terminal state, resume candidates for this directory.",1.
134,0,polylogue-37t.7,2,feature,open,polylogue-37t,,Close the failure loop: verify postmortem -> next session's context seed,workspace failure-context produces an envelope (testmon graph + git history + fixtures for a failing test); the pytest supervisor produces a postmortem (.cache/verify/) — neither flows into the next agent session.,"- A compile_context seed is constructed from the latest verify postmortem (.cache/verify/) + the `workspace failure-context` envelope (testmon graph + git history + fixtures), injectable via the SessionStart hook or an explicit `polylogue context --from-verify` entry point."
135,0,polylogue-37t.8,2,feature,open,polylogue-37t,,Resume routing: map a session to the harness invocation that reopens it,"Genuinely-missing item: nothing owns 'reopen this session in its harness' — claude --resume <id> vs the codex equivalent, per origin; plus detecting an already-open interactive session (the kitty/hyprland control plane can answer that on this machine, but keep that integration optional/pluggable).",1.
136,0,polylogue-4ts.5,2,feature,open,polylogue-4ts,,Compaction boundary-range columns + effective-context derivation,"session_events boundary_start/end_position + boundary_message_id; get_effective_context(session, at_position) = what the model actually saw vs the full composed prefix.",1.
137,1,polylogue-gjg.1,2,task,open,polylogue-gjg,"polylogue-d1y, polylogue-4ts.5",compaction_events + compaction_loss_items derived tables; identity survives rebuild + re-ingest,Promote compaction from a session_events count + lineage edge to an archived object.,Rebuild from source produces identical compaction_ids; a re-ingested session keeps its compaction rows; changed interpretation surfaces as event_content_hash delta not silent overwrite.
138,1,polylogue-gjg.2,2,task,open,polylogue-gjg,"polylogue-d1y, polylogue-4ts.5","Pre-compaction snapshot capture: hook payload when available, manifest-of-refs otherwise, honesty ladder always","Two-level snapshotting with snapshot_source as a FIRST-CLASS honesty axis, not a footnote: precompact-hook (strongest — the actual assembled context payload, blob-stored content-addressed, claim: this WAS model context) > jsonl-boundary (manifest of composed-transcript message refs up to the boundary; claim limited to archive-composed transcript, NOT model context) > reconstructed-composed-context (weakest) > none (epidemiology only).",A live compaction on the operator machine lands either a hook snapshot or a labeled jsonl-boundary manifest; every snapshot row carries source+confidence; no unlabeled reconstruction.
139,2,polylogue-gjg.3,2,task,open,polylogue-gjg,"polylogue-d1y, polylogue-gjg.1, polylogue-gjg.2, polylogue-4ts.5",Deterministic loss-forensics: 4-tier structural diff + lost-but-later-needed ranking,The base retained/lost/transformed classifier is deterministic and structural — NO LLM in the base pass (LLM annotation may layer later as separate judgment rows).,Classifier is pure + property-tested (same inputs => same items); ranking exposes per-component scores; epidemiology query renders with n + coverage footnotes.
140,0,polylogue-5hf,2,feature,open,polylogue-f2qv,,Provider token accounting: honest cross-provider usage ledger,"Coverage, caveats, cached-vs-uncached splits, reasoning tokens, current-window + cumulative session usage.","Given a session/day/origin, the ledger returns per-lane token totals (cached/uncached input, reasoning/completion output), a coverage class and caveat set drawn from the documented vocabulary, and both API-equivalent and subscription-credit cost figures."
141,0,polylogue-7aw,2,feature,open,,,"Ingest agent configuration as a source family (skills, CLAUDE.md, hooks)","Treat agent configuration as a corpus polylogue versions, queries, and correlates with session outcomes: CLAUDE.md/AGENTS.md revisions, skills, hook configs — config-over-time x outcome-over-time is the continual-learning dataset (composes with the self-experimentation rail).","Config artifacts ingest with content-hash versioning and watcher coverage on the live machine; a session from last week resolves to the exact CLAUDE.md/skill versions it ran under; skill-invocation report renders (which skills, frequency, outcome mix); one state-like global-CLAUDE.md section migrated to injected-equivalent with drill-verified parity and the static text retired; the classification of the operator's current global CLAUDE.md into the four content classes is committed as the migrat…"
142,1,polylogue-h6r,2,task,open,,polylogue-7aw,Agent identity: a stable who-did-this tuple for every session,"Half the analytics tower assumes 'per agent' partitions the schema cannot express: a model name is not an agent — the same model under different CLAUDE.md versions, skills, or MCP profiles is behaviorally a different worker.","Identity tuple materialized for new sessions on the live machine (config ref resolving via 7aw); an identity-partitioned measure runs with the unknown fraction stated; h10's calibration curves key on identity, not bare model name."
143,0,polylogue-7xv.1,2,feature,open,polylogue-7xv,,Work-trace + reproduction harness: verify a session repo-work from a clean worktree,"Reproduction-first verification, NOT raw command-stream replay (rejected: schema does not guarantee action-level cwd/env/stdin/sandbox/tool-version/pre-post hashes; unsafe+brittle as the headline).","Fixture session (edits + failing-then-passing test) renders a work-trace with ordered actions/cwd/repo/commit/touched-paths/exit evidence; reproduction verify creates a worktree, applies target, runs verifiers, records attempt + assertions; unsafe classes are classified and not auto-run; proof card round-trips refs."
144,0,polylogue-83u.2,2,feature,open,polylogue-83u,,Attachment byte acquisition for non-inline sources (Drive/zip/local),Acquire bytes where the handle is live: Drive via DriveSourceClient.download_bytes inside the iterator scope (un-bypass download_assets); export-zip member resolution while the zipfile is open; local paths via transport-only local_source_path under a source-root allowlist + realpath-escape check.,1.
145,0,polylogue-90y,2,feature,open,polylogue-jlme,,"In-page overlay: Polylogue presence on chat sites — archive state, context, assertion capture",The extension currently only EXTRACTS; it could also PRESENT.,On chatgpt.com and claude.ai: chip+panel render with zero host-page layout shift in light and dark themes; selection pill appears only on text selection; saving a selection creates a candidate assertion whose evidence ref resolves to the exact archived message; per-site toggle and global kill work; panel shows relevant judged assertions when embeddings are enabled.
146,0,polylogue-9l5.1,2,feature,open,polylogue-9l5,,Outcome-conditioned analytics: cost/duration/retries/tools by structural success,"Group cost, duration, retry chains, and tool usage by structural outcome (exit_code/is_error terminal state), with per-origin coverage caveats.",1.
147,0,polylogue-9l5.2,2,feature,open,polylogue-9l5,,Cross-provider comparative analytics,"The archive is the only place Claude/Codex/ChatGPT/Gemini work traces coexist normalized: same task-shape comparisons — failure rates, retry behavior, cost per completed session, tool-mix, session lengths — by origin/model with explicit coverage tiers per origin so partial provenance cannot masquerade as a finding.",1.
148,0,polylogue-9l5.6,2,feature,open,polylogue-9l5,,tool-episodes projection: call + result + outcome + context + next action,Sidecar research (Sartre): affordance-usage and analyze tools stop at aggregate evidence.,1.
149,0,polylogue-avg,2,feature,open,,,Fold devloop claim-guard vocabulary upstream into ops status/readiness,"The loop scripts guard claims better than the product does: devloop-status treats schema-version match as 'openable, not converged', gates convergence claims on raw-materialization debt being zero/classified, and blocks latency claims behind live_performance_proof_blocked.","- `polylogue ops status --json` exposes a claim-guard block with the four claim states (openable / converged / search-ready / perf-measurable), each derived from its documented signal."
150,0,polylogue-bby.8,2,feature,open,polylogue-bby,,"Web reader perceived performance: virtualized list, streamed search, optimistic navigation","Fluidity in the reader is perceived latency, not just server latency: the session list renders 16k+ rows into the DOM (scroll cost grows with archive size), search waits for full results before painting anything, clicking a session blocks on the full detail fetch, and every panel loads with spinners instead of skeletons.",Session list scrolls at 60fps with 20k sessions (virtualized DOM stays constant-size).
151,0,polylogue-da1,2,feature,open,,,Provider format-drift sentinel: detect upstream export-shape changes from live ingest,"Claude Code, Codex, ChatGPT, and Gemini change their export/JSONL shapes without notice.","- At ingest, records whose shape does not match the committed provider schema package are counted, keyed by (origin, element kind, unseen-key signature), into ops.db telemetry via additive columns only (no schema bump — the ops tier explicitly allows additive columns)."
152,0,polylogue-dmp,2,feature,open,,,polylogue note: zero-friction memory capture from the terminal,"Terminal-side ambient capture is missing: when the operator (or an agent in a shell) realizes something worth remembering, there is no one-liner to record it with provenance — the thought either interrupts flow for a heavier tool or evaporates.",1.
153,0,polylogue-f2qv.3,2,feature,open,polylogue-f2qv,,Dual cost view: API-list-equivalent and subscription-credit reported separately,PROBLEM.,Cost surfaces return api_equivalent_usd and subscription_credit as distinct fields; a test asserts they differ correctly for a session with cache reads (subscription view < API view).
154,1,polylogue-fnm.1,2,feature,open,polylogue-fnm,polylogue-fnm.11,Aggregates beyond count (sum/avg/min/max/percentiles),`group by X | count` is the only aggregate; cost/duration/token questions need sum/avg/percentiles to compose instead of spawning bespoke analyze modes.,- On the live archive `messages where ...
155,0,polylogue-fnm.10,2,feature,open,polylogue-fnm,,fields/select stage with parent-field projection (first real Transform),"The upward-access ceiling: session.* fields work for FILTERING on every unit (~25 scoped fields, metadata.py:620-658) and for whitelisted group-by, but output shapes are frozen Pydantic payloads that hardcode exactly two parent fields (MessageQueryRowPayload carries origin+title, payloads.py:~1265-1280).","- `messages where session.repo:polylogue AND text:timeout | fields text, occurred_at, session.title, session.repo` returns generic dict-shaped rows keyed by requested field name, emitted alongside (not replacing) the typed MessageQueryRowPayload."
156,0,polylogue-fnm.12,2,feature,open,polylogue-fnm,,"User-defined query macros: named, composable DSL shorthands in user.db",The highest-leverage runtime configurable found in the preference design pass: operators (and agents) repeat the same filter combinations constantly — 'my real coding sessions' = origin:claude-code-session + repo-scope + exclude-subagents + trailing-90d.,"Define/list/delete macros via CLI+MCP; @macro composes inside find, unit-where, and pipeline queries on the live archive; invalid macro refused at definition with caret; explain shows expansion with provenance; cycle/depth guards tested; completions surface @-macros."
157,0,polylogue-fnm.13,2,feature,open,polylogue-fnm,,Set-algebra over query results: union/intersect/except between queries,"BRAINSTORM (2026-07-05, operator asked to explore syntax incl.",`polylogue find 'auth intersect week:2026-W01'` returns exactly the session_ids in both operand sets; `except` subtracts; `union` dedups.
158,0,polylogue-fnm.14,2,feature,open,polylogue-fnm,,find <query> | compact: token-budgeted corpus-compaction projection with drop manifest,"The R&D-flywheel enabler: package a queried cohort as a decision-dense, lineage-deduplicated digest for an external LLM, with an honest fidelity manifest.",Fixture with protocol/tool spam compacts to a digest excluding it with per-material_origin drop counts; failed->fix->verify fixture keeps the pair with refs; fork/resume fixture emits shared prefix once and reports duplicate-prefix omissions; 60k budget test proves the deterministic degradation order; every digest anchor round-trips to a source ref; context-image and compact remain separate payload shapes sharing helpers.
159,0,polylogue-fnm.2,2,feature,open,polylogue-fnm,,Projection predicates/windows + render/layout stages on attached units,Declared predicates/windows on attached units (e.g.,- `...
160,0,polylogue-fnm.4,2,feature,open,polylogue-fnm,,Shell completion + fuzzy selection as read-only projections of the grammar registries,Completion/query-builder metadata built on the same grammar+registries used by CLI/MCP/daemon/web — not a second parser.,"- A registry-diff snapshot test asserts that every grammar-reachable field/unit/pipeline-stage/read-view name (enumerated from metadata.py descriptors, read_view_registry, and operations.action_contracts.ACTION_CONTRACTS) appears in the completion payload, so new DSL work cannot silently miss completions."
161,0,polylogue-fnm.6,2,feature,open,polylogue-fnm,,Wire the terminal stage to projections: | read / | context-image,QueryUnitTransformStage is reserved-never-parsed and terminal args are reserved for future actions.,- `sessions where ...
162,0,polylogue-fs1.4,2,feature,open,polylogue-fs1,,Report: polylogue forensics for Hermes sessions,"Five-section per-session/per-corpus report, computed from the canonical archive (composition over existing primitives where possible): 1) session topology — parents, resumes, compactions, subagents, branches, long turns; 2) LLM/request economy — token lanes, cost, retry/fallback causes, model/provider shifts, cache-read amplification; 3) tool execution profile — durations, failures, approvals, repeated calls, parallel groups; 4) failure patterns — loops, stalls, empty-response retries, repeated…",
163,0,polylogue-kph,2,feature,open,polylogue-s7ae,,Provenance-carrying PRs: attach the authoring session's postmortem bundle,"Sessions already link to repos and commits (session_repos, session_commits).",1.
164,0,polylogue-mhx.1,2,feature,open,polylogue-mhx,,"Provider abstraction: one OpenAI-compatible embedding client, local and cloud, model registry in meta",Voyage is hardcoded (VOYAGE_API_URL/DEFAULT_MODEL/DEFAULT_DIMENSION constants).,1.
165,1,polylogue-37t.5,2,feature,open,polylogue-37t,polylogue-mhx.1,Local embedding lane via OpenAI-compatible provider (LiteLLM gateway),"Voyage is the only embedding provider; a local lane makes semantic search $0 and the whole loop air-gapped — and pairs with the Hermes bridge program for a fully local, zero-cloud stack.",
166,0,polylogue-mhx.2,2,feature,open,polylogue-mhx,,"Embedding target policy: what gets a vector, at what granularity, at what cost","Today exactly one class is embedded: authored prose messages (user/assistant, human/assistant-authored material origin, positive word count — the v21 partial index).",1.
