order,wave,id,priority,issue_type,status,title,root,parent,release,release_name,lane,original_readiness_grade,upgraded_readiness_grade,had_acceptance_criteria,acceptance_patch_added,verification_lane,proof_artifact_path,security_impact,data_loss_impact,migration_impact,public_claim_impact
76,0,polylogue-8jg9.1,2,task,open,Standing backlog-hygiene invariant lint (bd devloop gate),polylogue-8jg9,polylogue-8jg9,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",storage-rebuild-scale,A-implementation-ready,A-implementation-ready,True,False,"large-corpus rebuild probe, blue-green generation swap proof, WAL/resource envelope report",artifacts/B-storage-rebuild-bytes/polylogue-8jg9.1.md,False,True,False,False
77,0,polylogue-8jg9.2,2,task,open,Blob-GC lease/orphan concurrency test (the acquire->commit race),polylogue-8jg9,polylogue-8jg9,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",blob-integrity,B-local-inspection-needed,B-local-inspection-needed,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/B-storage-rebuild-bytes/polylogue-8jg9.2.md,False,True,False,False
78,0,polylogue-9e5.1,2,task,open,Assertion-layer adoption audit: is the flywheel used or aspirational?,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,temporal-provenance,A-implementation-ready,A-implementation-ready,True,False,clock-seam regression tests and weakest-timestamp-source aggregate fixture,artifacts/A-trust-floor/polylogue-9e5.1.md,False,False,True,True
79,0,polylogue-9e5.19,2,task,open,Storage-layer correctness scenario family,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,evidence-honesty,B-local-inspection-needed,B-local-inspection-needed,True,False,"rigor-audit coverage report, evidence-contract tests, not-supported/unknown rendering fixture",artifacts/A-trust-floor/polylogue-9e5.19.md,False,False,False,True
80,0,polylogue-9e5.24,2,task,open,Sink MCP analysis primitives into insights/ + api facade; delete surface-side math,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,evidence-honesty,B-local-inspection-needed,B-local-inspection-needed,True,False,"rigor-audit coverage report, evidence-contract tests, not-supported/unknown rendering fixture",artifacts/A-trust-floor/polylogue-9e5.24.md,False,True,False,True
81,0,polylogue-9e5.25,2,task,open,Review zero-use MCP surfaces from affordance usage artifact,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,usage-cost-honesty,A-implementation-ready,A-implementation-ready,True,False,usage/cost reconciliation report with disjoint lanes and empty-evidence tests,artifacts/A-trust-floor/polylogue-9e5.25.md,False,False,False,True
82,0,polylogue-9e5.26,2,task,open,Review zero-use CLI surfaces from affordance usage artifact,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,usage-cost-honesty,A-implementation-ready,A-implementation-ready,True,False,usage/cost reconciliation report with disjoint lanes and empty-evidence tests,artifacts/A-trust-floor/polylogue-9e5.26.md,False,False,False,True
83,0,polylogue-9e5.27,2,task,open,Speed up live affordance usage surface inventory,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,usage-cost-honesty,A-implementation-ready,A-implementation-ready,True,False,usage/cost reconciliation report with disjoint lanes and empty-evidence tests,artifacts/A-trust-floor/polylogue-9e5.27.md,False,False,False,True
84,0,polylogue-9e5.3,2,task,open,Column honesty audit: null/unknown density for key semantic columns,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,evidence-honesty,A-implementation-ready,A-implementation-ready,True,False,"rigor-audit coverage report, evidence-contract tests, not-supported/unknown rendering fixture",artifacts/A-trust-floor/polylogue-9e5.3.md,False,False,False,True
85,0,polylogue-9e5.4,2,task,open,Get->modify->put race audit across daemon/CLI/MCP writers,polylogue-9e5,polylogue-9e5,A-trust-floor,Trust floor,blob-integrity,A-implementation-ready,A-implementation-ready,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/A-trust-floor/polylogue-9e5.4.md,False,True,False,False
86,0,polylogue-9l5.15,2,task,open,Triage frontier: worth_reviewing_score + TRIAGED lifecycle — an inbox that empties,polylogue-9l5,polylogue-9l5,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,A-implementation-ready,A-implementation-ready,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-9l5.15.md,False,False,True,True
87,0,polylogue-a7xr.5,2,task,open,FTS trigger DDL declared twice: archive_tiers/index.py vs fts_lifecycle repair copies,polylogue-a7xr,polylogue-a7xr,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,A-implementation-ready,A-implementation-ready,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-a7xr.5.md,False,False,True,False
88,0,polylogue-ap7,2,task,open,"Semantic transcript rendering: tool-call-aware, provider-agnostic, shared CLI/web renderer registry",polylogue-fnm,polylogue-fnm,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-ap7.md,False,False,False,False
89,0,polylogue-cpf.4,2,task,open,Enforce degrade-loudly: sweep silent soft-failure paths to carry a signal,polylogue-cpf,polylogue-cpf,A-trust-floor,Trust floor,evidence-honesty,B-local-inspection-needed,B-local-inspection-needed,True,False,"rigor-audit coverage report, evidence-contract tests, not-supported/unknown rendering fixture",artifacts/A-trust-floor/polylogue-cpf.4.md,False,False,False,True
90,0,polylogue-exb,2,task,open,"Layering: substrate rings import the api facade (6 sites, 2 private-symbol reaches)",polylogue-exb,,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,A-implementation-ready,A-implementation-ready,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-exb.md,False,False,False,False
91,0,polylogue-f2qv.2,2,task,open,Codex disjoint-lane normalizer: decompose cached/uncached and reasoning/completion with a regression guard,polylogue-f2qv,polylogue-f2qv,A-trust-floor,Trust floor,evidence-honesty,B-local-inspection-needed,B-local-inspection-needed,True,False,"rigor-audit coverage report, evidence-contract tests, not-supported/unknown rendering fixture",artifacts/A-trust-floor/polylogue-f2qv.2.md,False,False,False,True
92,0,polylogue-f2qv.4,2,task,open,"Single pricing source of truth: LiteLLM catalog, drop tokencost, last-path-segment match",polylogue-f2qv,polylogue-f2qv,A-trust-floor,Trust floor,security-privacy,B-local-inspection-needed,B-local-inspection-needed,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-f2qv.4.md,True,False,False,False
93,0,polylogue-fnm.11,2,task,open,Pipeline/clause parity across units + generated support matrix,polylogue-fnm,polylogue-fnm,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-fnm.11.md,False,False,False,False
94,0,polylogue-ivsc,2,task,open,Classify Codex state_5 token drift outside lineage replay,polylogue-f2qv,polylogue-f2qv,A-trust-floor,Trust floor,security-privacy,A-implementation-ready,A-implementation-ready,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-ivsc.md,True,False,False,False
95,0,polylogue-jnj.1,2,task,open,Collapse read per-view flags into ProjectionSpec/RenderSpec algebra,polylogue-jnj,polylogue-jnj,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-jnj.1.md,False,False,False,False
96,1,polylogue-1lm,2,task,open,Composable transcript views: selector x transform x budget algebra,polylogue-1lm,,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-1lm.md,False,False,True,False
97,0,polylogue-lio,2,task,open,Align cross-repo devloop contract on beads (Sinex parity),polylogue-lio,,D-agent-context-coordination,"Agent context, memory, and coordination",agent-substrate,A-implementation-ready,A-implementation-ready,True,False,agent workflow catalog run and adoption telemetry report,artifacts/D-agent-context-coordination/polylogue-lio.md,False,False,False,False
98,0,polylogue-ma2,2,task,open,Add FK-supporting index for web_content_constructs message cleanup,polylogue-1xc,polylogue-1xc,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",storage-rebuild-scale,A-implementation-ready,A-implementation-ready,True,False,"large-corpus rebuild probe, blue-green generation swap proof, WAL/resource envelope report",artifacts/B-storage-rebuild-bytes/polylogue-ma2.md,False,True,True,False
99,0,polylogue-mhx.3,2,task,open,Retrieval quality eval lane: measure FTS vs vector vs hybrid before believing any of them,polylogue-mhx,polylogue-mhx,J-embeddings-retrieval,Embeddings and semantic retrieval,embeddings-retrieval,A-implementation-ready,A-implementation-ready,True,False,"FTS/vector/hybrid retrieval eval, provider abstraction tests, bounded-vector-work fixture",artifacts/J-embeddings-retrieval/polylogue-mhx.3.md,False,False,False,False
100,0,polylogue-ox0,2,task,open,Codex deep integration: state DBs as authoritative source + AppServer live lane,polylogue-fs1,polylogue-fs1,K-interop-origin-export,"Interop, origin breadth, and export",origin-interop-export,A-implementation-ready,A-implementation-ready,True,False,OriginSpec detector/parser/fixture/fidelity suite and content-hash export/import roundtrip,artifacts/K-interop-origin-export/polylogue-ox0.md,False,False,True,False
101,0,polylogue-rxdo.1,2,task,open,"ObjectRef expansion: query, query-run, result-set, finding, cohort, analysis, annotation-batch kinds",polylogue-rxdo,polylogue-rxdo,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-rxdo.1.md,False,False,False,False
102,0,polylogue-rxdo.2,2,task,open,Content-addressed query identity + durable user.db queries/query_names/result_sets/query_edges,polylogue-rxdo,polylogue-rxdo,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-rxdo.2.md,False,False,True,False
103,0,polylogue-rxdo.3,2,task,open,Query-run + result-relation telemetry in ops.db; refs on every query envelope,polylogue-rxdo,polylogue-rxdo,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-rxdo.3.md,False,False,True,False
104,0,polylogue-rxdo.4,2,task,open,"AssertionKind.FINDING: claims with evidence, reusing the candidate->judge lifecycle verbatim",polylogue-rxdo,polylogue-rxdo,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-rxdo.4.md,False,False,True,False
105,1,polylogue-rxdo.7,2,task,open,"Annotation substrate: schema registry, annotation batches, JSONL import surface, typed value predicates",polylogue-rxdo,polylogue-rxdo,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-rxdo.7.md,False,False,True,False
106,0,polylogue-svfj,2,task,open,Block content-hash citation anchors: blocks.content_hash + resolver with typed drift states,polylogue-svfj,,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-svfj.md,False,False,False,False
107,1,polylogue-bby.15,2,task,open,Evidence basket -> citable report -> verified export (cockpit core loop),polylogue-bby,polylogue-bby,H-web-cockpit,Web evidence cockpit,web-evidence-cockpit,A-implementation-ready,A-implementation-ready,True,False,"web visual smoke, slow-route state fixture, basket-to-citable-export proof",artifacts/H-web-cockpit/polylogue-bby.15.md,False,False,True,False
108,0,polylogue-t0p,2,task,open,"Capture the rest of Claude Code: todos, file-history, prompt history, debug artifacts",polylogue-l4kf,polylogue-l4kf,K-interop-origin-export,"Interop, origin breadth, and export",origin-interop-export,A-implementation-ready,A-implementation-ready,True,False,OriginSpec detector/parser/fixture/fidelity suite and content-hash export/import roundtrip,artifacts/K-interop-origin-export/polylogue-t0p.md,False,False,False,False
109,0,polylogue-t46.3,2,task,open,"Unify list/search query-spec->ArchiveStore execution across CLI, MCP, and daemon web",polylogue-t46,polylogue-t46,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,B-local-inspection-needed,B-local-inspection-needed,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-t46.3.md,False,False,False,False
110,0,polylogue-t46.4,2,task,open,Delegate daemon session-similarity KNN to SqliteVecProvider.query_by_session,polylogue-t46,polylogue-t46,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,B-local-inspection-needed,B-local-inspection-needed,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-t46.4.md,False,False,False,False
111,0,polylogue-t46.5,2,task,open,Route CLI transcript/dialogue file export through substrate read+render; delete streaming_markdown SQL path,polylogue-t46,polylogue-t46,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,B-local-inspection-needed,B-local-inspection-needed,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-t46.5.md,False,True,False,False
112,0,polylogue-t46.6,2,task,open,Fix referenced_path OR-vs-AND filter divergence and delete dead CLI stats aggregators,polylogue-t46,polylogue-t46,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,B-local-inspection-needed,B-local-inspection-needed,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-t46.6.md,False,True,False,False
113,0,polylogue-t46.8,2,task,open,MCP surface collapse: ~96 tools -> verb algebra (query/get/explain/context/assert/maintenance...),polylogue-t46,polylogue-t46,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,B-local-inspection-needed,B-local-inspection-needed,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-t46.8.md,False,False,False,False
114,0,polylogue-t8t,2,task,open,"Agent workflow catalog: walk the seven core flows end-to-end, fix what breaks",polylogue-s7ae,polylogue-s7ae,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-t8t.md,False,False,False,False
115,0,polylogue-th0,2,task,open,"Interactive-surface test harness: pty flows, completions, fuzzy pickers",polylogue-th0,,G-live-performance,"Live intake, capture, daemon, and interactive performance",live-substrate,A-implementation-ready,A-implementation-ready,True,False,"live-ingest fixture, event materialization proof, status/liveness report",artifacts/G-live-performance/polylogue-th0.md,False,False,False,False
116,0,polylogue-x4s,2,task,open,Express devloop state in Polylogue substrate (dogfood target),polylogue-rii,polylogue-rii,D-agent-context-coordination,"Agent context, memory, and coordination",context-memory,A-implementation-ready,A-implementation-ready,True,False,context scheduler ledger fixture and candidate judgment queue proof,artifacts/D-agent-context-coordination/polylogue-x4s.md,False,False,False,False
117,0,polylogue-x7d,2,task,open,Unify root query row rendering contracts,polylogue-jnj,polylogue-jnj,C-read-evidence-contract,One read contract and first-class evidence objects,read-contracts,A-implementation-ready,A-implementation-ready,True,False,CLI/daemon/MCP/Python/web query parity suite and content-hash citation drift fixture,artifacts/C-read-evidence-contract/polylogue-x7d.md,False,False,False,False
118,0,polylogue-xgw,2,task,open,Archive schema hygiene for evidence-cockpit read paths,polylogue-1xc,polylogue-1xc,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",storage-rebuild-scale,A-implementation-ready,A-implementation-ready,True,False,"large-corpus rebuild probe, blue-green generation swap proof, WAL/resource envelope report",artifacts/B-storage-rebuild-bytes/polylogue-xgw.md,False,True,True,False
119,0,polylogue-yeq,2,task,open,"Advanced verification lanes: metamorphic DSL, daemon chaos, API-contract walks",polylogue-yeq,,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-yeq.md,False,False,False,False
120,0,polylogue-a7xr.10,2,chore,open,Kill-or-adopt the search-provider lane: production bypasses the abstraction it should use,polylogue-a7xr,polylogue-a7xr,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,A-implementation-ready,A-implementation-ready,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-a7xr.10.md,False,False,False,False
121,0,polylogue-a7xr.11,2,chore,open,Prune protocols.py zero-consumer protocols + dead repo kwarg query surface + cursor mapping bug,polylogue-a7xr,polylogue-a7xr,M-substrate-consolidation,Substrate consolidation and codebase simplification,substrate-consolidation,A-implementation-ready,A-implementation-ready,True,False,"layering/import graph diff, parity tests before/after refactor, public-model compatibility suite",artifacts/M-substrate-consolidation/polylogue-a7xr.11.md,False,False,False,False
122,0,polylogue-20d.1,2,feature,open,CLI->daemon fast path over UDS (persistent hot process),polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.1.md,False,False,False,False
123,1,polylogue-20d.12,2,feature,open,"Daemon result cache + post-ingest warming: precomputed answers, cursor-keyed invalidation",polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.12.md,False,False,True,False
124,0,polylogue-20d.13,2,feature,open,Daemon push channel: SSE events for live UIs instead of polling,polylogue-20d,polylogue-20d,G-live-performance,"Live intake, capture, daemon, and interactive performance",interactive-performance,A-implementation-ready,A-implementation-ready,True,False,"named SLO report, daemon hot-path benchmark, push/cache invalidation tests",artifacts/G-live-performance/polylogue-20d.13.md,False,False,True,False
125,0,polylogue-37t.1,2,feature,open,Assertions: consumer wiring + lifecycle tightening for unified overlays,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",context-memory,A-implementation-ready,A-implementation-ready,True,False,context scheduler ledger fixture and candidate judgment queue proof,artifacts/D-agent-context-coordination/polylogue-37t.1.md,False,False,False,False
126,0,polylogue-37t.12,2,feature,open,Judgment queue: operator bulk review/accept/reject of candidate assertions,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",context-memory,B-local-inspection-needed,B-local-inspection-needed,True,False,context scheduler ledger fixture and candidate judgment queue proof,artifacts/D-agent-context-coordination/polylogue-37t.12.md,False,False,False,False
127,1,polylogue-37t.11,1,feature,open,Context scheduler: one arbiter for everything that enters an agent's context,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-37t.11.md,False,False,False,False
128,2,polylogue-s7ae.3,1,feature,open,Coordination messages and subtle scheduler-mediated advisories,polylogue-s7ae,polylogue-s7ae,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-s7ae.3.md,False,False,False,False
129,3,polylogue-s7ae.5,1,task,open,"Live proof: two agents, separate worktrees, one repo — overlap, message, context, handoff",polylogue-s7ae,polylogue-s7ae,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,B-local-inspection-needed,B-local-inspection-needed,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-s7ae.5.md,False,False,False,False
130,1,polylogue-37t.4,2,task,open,SessionStart preamble opt-in rollout (polylogue + sinnix repos),polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-37t.4.md,False,False,False,False
131,0,polylogue-37t.2,2,feature,open,Inline annotation protocol: agent-authored structure in plain prose,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",context-memory,A-implementation-ready,A-implementation-ready,True,False,context scheduler ledger fixture and candidate judgment queue proof,artifacts/D-agent-context-coordination/polylogue-37t.2.md,False,False,False,False
132,0,polylogue-37t.3,2,feature,open,Reboot-with-refs: session self-compaction protocol,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",context-memory,A-implementation-ready,A-implementation-ready,True,False,context scheduler ledger fixture and candidate judgment queue proof,artifacts/D-agent-context-coordination/polylogue-37t.3.md,False,False,False,False
133,0,polylogue-37t.6,2,feature,open,Session-aware devshell entry: surface what the last agent session left behind,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-37t.6.md,False,False,False,False
134,0,polylogue-37t.7,2,feature,open,Close the failure loop: verify postmortem -> next session's context seed,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",agent-coordination,A-implementation-ready,A-implementation-ready,True,False,two-agent separate-worktree proof with before/after coordination envelopes,artifacts/D-agent-context-coordination/polylogue-37t.7.md,False,False,False,False
135,0,polylogue-37t.8,2,feature,open,Resume routing: map a session to the harness invocation that reopens it,polylogue-37t,polylogue-37t,D-agent-context-coordination,"Agent context, memory, and coordination",context-memory,A-implementation-ready,A-implementation-ready,True,False,context scheduler ledger fixture and candidate judgment queue proof,artifacts/D-agent-context-coordination/polylogue-37t.8.md,False,False,False,False
136,0,polylogue-4ts.5,2,feature,open,Compaction boundary-range columns + effective-context derivation,polylogue-4ts,polylogue-4ts,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,A-implementation-ready,A-implementation-ready,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-4ts.5.md,False,False,True,False
137,1,polylogue-gjg.1,2,task,open,compaction_events + compaction_loss_items derived tables; identity survives rebuild + re-ingest,polylogue-gjg,polylogue-gjg,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,A-implementation-ready,A-implementation-ready,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-gjg.1.md,False,False,True,False
138,1,polylogue-gjg.2,2,task,open,"Pre-compaction snapshot capture: hook payload when available, manifest-of-refs otherwise, honesty ladder always",polylogue-gjg,polylogue-gjg,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,A-implementation-ready,A-implementation-ready,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-gjg.2.md,False,False,False,False
139,2,polylogue-gjg.3,2,task,open,Deterministic loss-forensics: 4-tier structural diff + lost-but-later-needed ranking,polylogue-gjg,polylogue-gjg,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,A-implementation-ready,A-implementation-ready,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-gjg.3.md,False,False,False,False
140,0,polylogue-5hf,2,feature,open,Provider token accounting: honest cross-provider usage ledger,polylogue-f2qv,polylogue-f2qv,A-trust-floor,Trust floor,security-privacy,A-implementation-ready,A-implementation-ready,True,False,negative Host/Origin/token/spool/security fixture suite,artifacts/A-trust-floor/polylogue-5hf.md,True,False,False,False
141,0,polylogue-7aw,2,feature,open,"Ingest agent configuration as a source family (skills, CLAUDE.md, hooks)",polylogue-7aw,,K-interop-origin-export,"Interop, origin breadth, and export",origin-interop-export,A-implementation-ready,A-implementation-ready,True,False,OriginSpec detector/parser/fixture/fidelity suite and content-hash export/import roundtrip,artifacts/K-interop-origin-export/polylogue-7aw.md,False,False,False,False
142,1,polylogue-h6r,2,task,open,Agent identity: a stable who-did-this tuple for every session,polylogue-h6r,,F-lineage-compaction,Lineage truth and compaction recovery,lineage-compaction,A-implementation-ready,A-implementation-ready,True,False,branch/shared-prefix/compaction/truncation fixture matrix and regrounding proof,artifacts/F-lineage-compaction/polylogue-h6r.md,False,False,True,False
143,0,polylogue-7xv.1,2,feature,open,Work-trace + reproduction harness: verify a session repo-work from a clean worktree,polylogue-l4kf,polylogue-7xv,K-interop-origin-export,"Interop, origin breadth, and export",origin-interop-export,B-local-inspection-needed,B-local-inspection-needed,True,False,OriginSpec detector/parser/fixture/fidelity suite and content-hash export/import roundtrip,artifacts/K-interop-origin-export/polylogue-7xv.1.md,False,False,True,False
144,0,polylogue-83u.2,2,feature,open,Attachment byte acquisition for non-inline sources (Drive/zip/local),polylogue-83u,polylogue-83u,B-storage-rebuild-bytes,"Storage, rebuild, and byte-integrity floor",blob-integrity,A-implementation-ready,A-implementation-ready,True,False,"leased-blob race fixture, blob-reference resolver report, SHA-256 restore/compression proof",artifacts/B-storage-rebuild-bytes/polylogue-83u.2.md,False,True,False,False
145,0,polylogue-90y,2,feature,open,"In-page overlay: Polylogue presence on chat sites — archive state, context, assertion capture",polylogue-jlme,polylogue-jlme,G-live-performance,"Live intake, capture, daemon, and interactive performance",capture-reliability,A-implementation-ready,A-implementation-ready,True,False,"extension smoke, concurrent spool/dedup test, capture-gap event fixture",artifacts/G-live-performance/polylogue-90y.md,False,False,False,False
146,0,polylogue-9l5.1,2,feature,open,Outcome-conditioned analytics: cost/duration/retries/tools by structural success,polylogue-9l5,polylogue-9l5,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,A-implementation-ready,A-implementation-ready,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-9l5.1.md,False,False,False,True
147,0,polylogue-9l5.2,2,feature,open,Cross-provider comparative analytics,polylogue-9l5,polylogue-9l5,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,A-implementation-ready,A-implementation-ready,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-9l5.2.md,False,False,False,True
148,0,polylogue-9l5.6,2,feature,open,tool-episodes projection: call + result + outcome + context + next action,polylogue-9l5,polylogue-9l5,I-analytics-experiments,"Analytics, experiments, and measured learning",analytics-experiments,A-implementation-ready,A-implementation-ready,True,False,"measure registry, sample-frame/uncertainty/confound rendering tests, experiment analysis fixture",artifacts/I-analytics-experiments/polylogue-9l5.6.md,False,False,False,True
149,0,polylogue-avg,2,feature,open,Fold devloop claim-guard vocabulary upstream into ops status/readiness,polylogue-avg,,A-trust-floor,Trust floor,evidence-honesty,A-implementation-ready,A-implementation-ready,True,False,"rigor-audit coverage report, evidence-contract tests, not-supported/unknown rendering fixture",artifacts/A-trust-floor/polylogue-avg.md,False,False,True,True
