issue_id,depends_on_id,type,reason,created_by
polylogue-uiw,polylogue-2qx,blocks,new origins/imports/exports must route through declared OriginSpec unless explicitly exempted,delivery-upgrade-gpt-5.5-pro
polylogue-wmj,polylogue-2qx,blocks,new origins/imports/exports must route through declared OriginSpec unless explicitly exempted,delivery-upgrade-gpt-5.5-pro
polylogue-l4kf.1,polylogue-svfj,blocks,"Polylogue export/import envelope must preserve object identity, citations, and findings",delivery-upgrade-gpt-5.5-pro
polylogue-l4kf.1,polylogue-rxdo.1,blocks,"Polylogue export/import envelope must preserve object identity, citations, and findings",delivery-upgrade-gpt-5.5-pro
polylogue-l4kf.1,polylogue-rxdo.4,blocks,"Polylogue export/import envelope must preserve object identity, citations, and findings",delivery-upgrade-gpt-5.5-pro
polylogue-l4kf.3,polylogue-svfj,blocks,outbound developer citations need finding assertions and drift-aware citation anchors,delivery-upgrade-gpt-5.5-pro
polylogue-7k7,polylogue-fs1.3,blocks,research export depends on fidelity declarations and canonical export shape,delivery-upgrade-gpt-5.5-pro
polylogue-hiu,polylogue-b5l,blocks,"storage twin collapse should follow divergence diff, layering decision, and rebuild-safety proof",delivery-upgrade-gpt-5.5-pro
polylogue-4822,polylogue-3tl.6,blocks,external SDK/public models require interchange schema and stable object refs,delivery-upgrade-gpt-5.5-pro
polylogue-4822,polylogue-rxdo.1,blocks,external SDK/public models require interchange schema and stable object refs,delivery-upgrade-gpt-5.5-pro
