lane,file,line,ctx,start,end,call,op,tables,sql,norm,params
async,polylogue/storage/sqlite/queries/session_links.py,107,_would_create_cycle,90,122,execute,SELECT,sessions,"""SELECT parent_session_id FROM sessions WHERE session_id = ?""",SELECT parent_session_id FROM sessions WHERE session_id = ?,"(current,)"
async,polylogue/storage/sqlite/queries/sessions_identity.py,29,resolve_id,28,53,execute,SELECT,sessions,"""SELECT session_id FROM sessions WHERE session_id = ?""",SELECT session_id FROM sessions WHERE session_id = ?,"(id_prefix,)"
async,polylogue/storage/sqlite/queries/sessions_identity.py,46,resolve_id,28,53,execute,DYNAMIC/OTHER,sessions,"f""SELECT session_id FROM sessions WHERE {where} ORDER BY session_id LIMIT 2""","f""SELECT session_id FROM sessions WHERE {where} ORDER BY session_id LIMIT 2""",tuple(params)
async,polylogue/storage/sqlite/queries/sessions_identity.py,57,get_last_sync_timestamp,56,59,execute,SELECT,sessions,"""SELECT datetime(MAX(updated_at_ms) / 1000, 'unixepoch') as last FROM sessions""","SELECT datetime(MAX(updated_at_ms) / 1000, 'unixepoch') as last FROM sessions",
async,polylogue/storage/sqlite/queries/sessions_identity.py,89,count_session_ids,77,91,execute,DYNAMIC/OTHER,,sql,sql,tuple(params)
async,polylogue/storage/sqlite/queries/sessions_identity.py,101,iter_session_ids,94,107,execute,DYNAMIC/OTHER,,sql,sql,params
async,polylogue/storage/sqlite/queries/sessions_identity.py,111,get_metadata,110,113,execute,SELECT,sessions,"""SELECT 1 FROM sessions WHERE session_id = ?""",SELECT 1 FROM sessions WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/sessions_identity.py,122,update_metadata_raw,116,122,execute,SELECT,sessions,"""SELECT 1 FROM sessions WHERE session_id = ?""",SELECT 1 FROM sessions WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/sessions_identity.py,132,set_metadata,125,134,execute,SELECT,sessions,"""SELECT 1 FROM sessions WHERE session_id = ?""",SELECT 1 FROM sessions WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/sessions_identity.py,150,list_tags,137,165,execute,DYNAMIC/OTHER,session_tags;tags,"f""""""
        SELECT t.name AS tag_name, COUNT(DISTINCT ct.session_id) AS cnt
        FROM session_tags ct
        JOIN tags t ON t.id = ct.tag_id
        {join}
        WHERE 1=1{where}
        GROUP BY t.name
        ORDER BY cnt DESC
        """"""","f"""""" SELECT t.name AS tag_name, COUNT(DISTINCT ct.session_id) AS cnt FROM session_tags ct JOIN tags t ON t.id = ct.tag_id {join} WHERE 1=1{where} GROUP BY t.name ORDER BY cnt DESC """"""",params
async,polylogue/storage/sqlite/queries/sessions_reads.py,73,get_session,72,92,execute,DYNAMIC/OTHER,sessions,"f""SELECT {_SESSION_RECORD_SELECT} FROM sessions WHERE session_id = ?""","f""SELECT {_SESSION_RECORD_SELECT} FROM sessions WHERE session_id = ?""","(session_id,)"
async,polylogue/storage/sqlite/queries/sessions_reads.py,103,get_sessions_batch,95,125,execute,DYNAMIC/OTHER,sessions,"f""""""
        SELECT {_SESSION_RECORD_SELECT}
        FROM sessions
        WHERE session_id IN ({placeholders})
           OR native_id IN ({native_placeholders})
        """"""","f"""""" SELECT {_SESSION_RECORD_SELECT} FROM sessions WHERE session_id IN ({placeholders}) OR native_id IN ({native_placeholders}) """"""","[*ids, *native_candidates]"
async,polylogue/storage/sqlite/queries/sessions_reads.py,219,list_sessions,128,221,execute,DYNAMIC/OTHER,,query,query,tuple(params)
async,polylogue/storage/sqlite/queries/sessions_reads.py,315,list_session_summaries,224,317,execute,DYNAMIC/OTHER,,query,query,tuple(params)
async,polylogue/storage/sqlite/queries/sessions_reads.py,386,count_sessions,320,388,execute,DYNAMIC/OTHER,,sql,sql,tuple(params)
async,polylogue/storage/sqlite/queries/sessions_reads.py,392,list_sessions_by_parent,391,402,execute,DYNAMIC/OTHER,sessions,"f""""""
        SELECT {_SESSION_RECORD_SELECT}
        FROM sessions
        WHERE parent_session_id = ?
        ORDER BY created_at_ms ASC
        """"""","f"""""" SELECT {_SESSION_RECORD_SELECT} FROM sessions WHERE parent_session_id = ? ORDER BY created_at_ms ASC """"""","(parent_id,)"
async,polylogue/storage/sqlite/queries/sessions_reads.py,81,get_session,72,92,execute,DYNAMIC/OTHER,sessions,"f""""""
            SELECT {_SESSION_RECORD_SELECT}
            FROM sessions
            WHERE native_id IN ({placeholders})
            ORDER BY sort_key_ms DESC, session_id DESC
            LIMIT 1
            """"""","f"""""" SELECT {_SESSION_RECORD_SELECT} FROM sessions WHERE native_id IN ({placeholders}) ORDER BY sort_key_ms DESC, session_id DESC LIMIT 1 """"""",candidates
async,polylogue/storage/sqlite/queries/sessions_search.py,37,search_session_hits,12,39,execute,DYNAMIC/OTHER,,sql,sql,params
async,polylogue/storage/sqlite/queries/sessions_search.py,67,search_session_evidence_hits,42,88,execute,DYNAMIC/OTHER,,query_spec.sql,query_spec.sql,query_spec.params
async,polylogue/storage/sqlite/queries/sessions_search.py,121,search_action_session_hits,100,123,execute,DYNAMIC/OTHER,,sql,sql,params
async,polylogue/storage/sqlite/queries/sessions_writes.py,9,session_exists_by_hash,8,14,execute,SELECT,sessions,"""SELECT 1 FROM sessions WHERE content_hash = ? LIMIT 1""",SELECT 1 FROM sessions WHERE content_hash = ? LIMIT 1,"(content_hash,)"
async,polylogue/storage/sqlite/queries/sessions_writes.py,22,delete_session_sql,17,70,execute,SELECT,sessions,"""SELECT parent_session_id FROM sessions WHERE session_id = ?""",SELECT parent_session_id FROM sessions WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/sessions_writes.py,32,delete_session_sql,17,70,execute,UPDATE,sessions,"""""""
        UPDATE sessions
        SET parent_session_id = ?
        WHERE parent_session_id = ?
        """"""",UPDATE sessions SET parent_session_id = ? WHERE parent_session_id = ?,"(parent_session_id, session_id)"
async,polylogue/storage/sqlite/queries/sessions_writes.py,41,delete_session_sql,17,70,execute,SELECT,attachment_refs;messages,"""""""SELECT DISTINCT ar.attachment_id FROM attachment_refs ar
           JOIN messages m ON ar.message_id = m.message_id
           WHERE m.session_id = ?""""""",SELECT DISTINCT ar.attachment_id FROM attachment_refs ar JOIN messages m ON ar.message_id = m.message_id WHERE m.session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/sessions_writes.py,49,delete_session_sql,17,70,execute,DELETE,sessions,"""DELETE FROM sessions WHERE session_id = ?""",DELETE FROM sessions WHERE session_id = ?,"(session_id,)"
async,polylogue/storage/sqlite/queries/sessions_writes.py,56,delete_session_sql,17,70,execute,DYNAMIC/OTHER,attachment_refs;attachments,"f""""""UPDATE attachments SET ref_count = (
                    SELECT COUNT(*) FROM attachment_refs
                    WHERE attachment_refs.attachment_id = attachments.attachment_id
                ) WHERE attachment_id IN ({placeholders})""""""","f""""""UPDATE attachments SET ref_count = ( SELECT COUNT(*) FROM attachment_refs WHERE attachment_refs.attachment_id = attachments.attachment_id ) WHERE attachment_id IN ({placeholders})""""""",affected_attachments
async,polylogue/storage/sqlite/queries/sessions_writes.py,63,delete_session_sql,17,70,execute,DYNAMIC/OTHER,attachments,"f""DELETE FROM attachments WHERE attachment_id IN ({placeholders}) AND ref_count <= 0""","f""DELETE FROM attachments WHERE attachment_id IN ({placeholders}) AND ref_count <= 0""",affected_attachments
async,polylogue/storage/sqlite/queries/stats.py,259,upsert_session_stats,235,295,execute,UPDATE,sessions,"""""""
        UPDATE sessions
        SET message_count = ?,
            word_count = ?,
            tool_use_count = ?,
            thinking_count = ?,
            paste_count = ?,
            user_message_count = ?,
            authored_user_message_count = ?,
            assistant_message_count = ?,
            system_message_count = ?,
            tool_message_count = ?,
            user_word_count = ?,
            authored_user_word_count = ?,
            assistant_word_count = ?
        WHERE session_id = ?
        """"""","UPDATE sessions SET message_count = ?, word_count = ?, tool_use_count = ?, thinking_count = ?, paste_count = ?, user_message_count = ?, authored_user_message_count = ?, assistant_message_count = ?, system_message_count = ?, tool_message_count = ?, user_word_count = ?, authored_user_word_count = ?, assistant_word_count = ? WHERE session_id = ?","(
            message_count,
            word_count,
            tool_use_count,
            thinking_count,
            paste_count,
            user_msg_count,
            authored_user_msg_count,
            assistant_msg_count,
            system_msg_count,
            tool_msg_count,
            user_word_count,
            authored_user_word_count,
            assistant_word_count,
            session_id,
        )"
async,polylogue/storage/sqlite/queries/stats.py,357,get_provider_session_counts,353,372,execute,SELECT,sessions,"""""""
        SELECT origin AS source_name, COUNT(*) AS session_count
        FROM sessions
        GROUP BY origin
        ORDER BY session_count DESC
        """"""","SELECT origin AS source_name, COUNT(*) AS session_count FROM sessions GROUP BY origin ORDER BY session_count DESC",
async,polylogue/storage/sqlite/queries/stats.py,397,get_provider_metrics_rows,375,429,execute,DYNAMIC/OTHER,,stats_sql,stats_sql,
async,polylogue/storage/sqlite/queries/stats.py,313,get_stats_by,298,350,execute,SELECT,sessions,"""""""
            SELECT strftime('%Y-%m-%d', updated_at_ms / 1000.0, 'unixepoch') as period, COUNT(*) as count
            FROM sessions
            WHERE updated_at_ms IS NOT NULL
            GROUP BY period ORDER BY period DESC
            """"""","SELECT strftime('%Y-%m-%d', updated_at_ms / 1000.0, 'unixepoch') as period, COUNT(*) as count FROM sessions WHERE updated_at_ms IS NOT NULL GROUP BY period ORDER BY period DESC",
async,polylogue/storage/sqlite/queries/stats.py,322,get_stats_by,298,350,execute,SELECT,sessions,"""""""
            SELECT strftime('%Y-%m', updated_at_ms / 1000.0, 'unixepoch') as period, COUNT(*) as count
            FROM sessions
            WHERE updated_at_ms IS NOT NULL
            GROUP BY period ORDER BY period DESC
            """"""","SELECT strftime('%Y-%m', updated_at_ms / 1000.0, 'unixepoch') as period, COUNT(*) as count FROM sessions WHERE updated_at_ms IS NOT NULL GROUP BY period ORDER BY period DESC",
async,polylogue/storage/sqlite/queries/stats.py,172,aggregate_message_stats,65,232,execute,SELECT,sessions,"""""""
            SELECT
                COALESCE(SUM(message_count), 0)  AS total_msgs,
                COALESCE(SUM(word_count), 0)     AS total_words
            FROM sessions
            """"""","SELECT COALESCE(SUM(message_count), 0) AS total_msgs, COALESCE(SUM(word_count), 0) AS total_words FROM sessions",
async,polylogue/storage/sqlite/queries/stats.py,185,aggregate_message_stats,65,232,execute,SELECT,messages,"""""""
            SELECT
                SUM(CASE WHEN role = 'user'      THEN 1 ELSE 0 END) AS user_count,
                SUM(CASE WHEN role = 'assistant' THEN 1 ELSE 0 END) AS assistant_count,
                SUM(CASE WHEN role = 'system'    THEN 1 ELSE 0 END) AS system_count
            FROM messages
            """"""","SELECT SUM(CASE WHEN role = 'user' THEN 1 ELSE 0 END) AS user_count, SUM(CASE WHEN role = 'assistant' THEN 1 ELSE 0 END) AS assistant_count, SUM(CASE WHEN role = 'system' THEN 1 ELSE 0 END) AS system_count FROM messages",
async,polylogue/storage/sqlite/queries/stats.py,204,aggregate_message_stats,65,232,execute,SELECT,sessions,"""SELECT MIN(sort_key_ms) / 1000.0 as min_sk, MAX(sort_key_ms) / 1000.0 as max_sk FROM sessions""","SELECT MIN(sort_key_ms) / 1000.0 as min_sk, MAX(sort_key_ms) / 1000.0 as max_sk FROM sessions",
async,polylogue/storage/sqlite/queries/stats.py,210,aggregate_message_stats,65,232,execute,SELECT,sessions,"""SELECT origin AS source_name, COUNT(*) as cnt FROM sessions GROUP BY origin ORDER BY cnt DESC""","SELECT origin AS source_name, COUNT(*) as cnt FROM sessions GROUP BY origin ORDER BY cnt DESC",
async,polylogue/storage/sqlite/queries/stats.py,217,aggregate_message_stats,65,232,execute,SELECT,attachment_refs,"""""""
        SELECT
            COUNT(*) AS attachment_ref_count,
            COUNT(DISTINCT attachment_id) AS distinct_attachment_count
        FROM attachment_refs
        """"""","SELECT COUNT(*) AS attachment_ref_count, COUNT(DISTINCT attachment_id) AS distinct_attachment_count FROM attachment_refs",
async,polylogue/storage/sqlite/queries/stats.py,331,get_stats_by,298,350,execute,SELECT,sessions,"""""""
            SELECT strftime('%Y', updated_at_ms / 1000.0, 'unixepoch') as period, COUNT(*) as count
            FROM sessions
            WHERE updated_at_ms IS NOT NULL
            GROUP BY period ORDER BY period DESC
            """"""","SELECT strftime('%Y', updated_at_ms / 1000.0, 'unixepoch') as period, COUNT(*) as count FROM sessions WHERE updated_at_ms IS NOT NULL GROUP BY period ORDER BY period DESC",
async,polylogue/storage/sqlite/queries/stats.py,92,_message_aggregate,90,112,execute,DYNAMIC/OTHER,messages,"f""""""
                SELECT
                    COUNT(*) AS total,
                    SUM(CASE WHEN role = 'user' THEN 1 ELSE 0 END) AS user_count,
                    SUM(CASE WHEN role = 'assistant' THEN 1 ELSE 0 END) AS assistant_count,
                    SUM(CASE WHEN role = 'system' THEN 1 ELSE 0 END) AS system_count,
                    SUM(word_count) AS words_approx
                FROM messages
                {where_clause}
                """"""","f"""""" SELECT COUNT(*) AS total, SUM(CASE WHEN role = 'user' THEN 1 ELSE 0 END) AS user_count, SUM(CASE WHEN role = 'assistant' THEN 1 ELSE 0 END) AS assistant_count, SUM(CASE WHEN role = 'system' THEN 1 ELSE 0 END) AS system_count, SUM(word_count) AS words_approx FROM messages {where_clause} """"""",params
async,polylogue/storage/sqlite/queries/stats.py,136,aggregate_message_stats,65,232,execute,DYNAMIC/OTHER,sessions,"f""SELECT MIN(sort_key_ms) / 1000.0 as min_sk, MAX(sort_key_ms) / 1000.0 as max_sk FROM sessions ""
                f""WHERE session_id IN ({placeholders})""","f""SELECT MIN(sort_key_ms) / 1000.0 as min_sk, MAX(sort_key_ms) / 1000.0 as max_sk FROM sessions "" f""WHERE session_id IN ({placeholders})""",cid_params
async,polylogue/storage/sqlite/queries/stats.py,144,aggregate_message_stats,65,232,execute,DYNAMIC/OTHER,sessions,"f""SELECT origin AS source_name, COUNT(*) as cnt FROM sessions ""
                f""WHERE session_id IN ({placeholders}) ""
                ""GROUP BY origin ORDER BY cnt DESC""","f""SELECT origin AS source_name, COUNT(*) as cnt FROM sessions "" f""WHERE session_id IN ({placeholders}) "" ""GROUP BY origin ORDER BY cnt DESC""",cid_params
async,polylogue/storage/sqlite/queries/stats.py,154,aggregate_message_stats,65,232,execute,DYNAMIC/OTHER,attachment_refs,"f""SELECT COUNT(*) AS attachment_ref_count, COUNT(DISTINCT attachment_id) ""
                f""AS distinct_attachment_count FROM attachment_refs ""
                f""WHERE session_id IN ({placeholders})""","f""SELECT COUNT(*) AS attachment_ref_count, COUNT(DISTINCT attachment_id) "" f""AS distinct_attachment_count FROM attachment_refs "" f""WHERE session_id IN ({placeholders})""",cid_params
async,polylogue/storage/sqlite/queries/stats.py,340,get_stats_by,298,350,execute,SELECT,sessions,"""""""
            SELECT origin as period, COUNT(*) as count
            FROM sessions
            GROUP BY origin ORDER BY count DESC
            """"""","SELECT origin as period, COUNT(*) as count FROM sessions GROUP BY origin ORDER BY count DESC",
async,polylogue/storage/sqlite/queries/tool_usage.py,98,get_tool_usage_rows,55,136,execute,DYNAMIC/OTHER,actions;sessions,"f""""""
        SELECT
            s.origin AS origin,
            {tool_expr} AS normalized_tool_name,
            COALESCE(NULLIF(a.semantic_type, ''), 'tool_use') AS action_kind,
            COUNT(*) AS call_count,
            COUNT(DISTINCT a.session_id) AS session_count,
            COUNT(DISTINCT a.message_id) AS message_count,
            COUNT(DISTINCT a.tool_use_block_id) AS distinct_tool_ids,
            SUM(CASE WHEN a.tool_path IS NOT NULL AND a.tool_path != '' THEN 1 ELSE 0 END) AS affected_path_calls,
            SUM(CASE WHEN a.output_text IS NOT NULL AND a.output_text != '' THEN 1 ELSE 0 END) AS output_text_calls
        FROM actions a
        JOIN sessions s ON s.session_id = a.session_id
        {""WHERE "" + "" AND "".join(where) if where else """"}
        GROUP BY
            s.origin,
            normalized_tool_name,
            action_kind
        ORDER BY call_count DESC, s.origin ASC, normalized_tool_name ASC
        {limit_clause}
        """"""","f"""""" SELECT s.origin AS origin, {tool_expr} AS normalized_tool_name, COALESCE(NULLIF(a.semantic_type, ''), 'tool_use') AS action_kind, COUNT(*) AS call_count, COUNT(DISTINCT a.session_id) AS session_count, COUNT(DISTINCT a.message_id) AS message_count, COUNT(DISTINCT a.tool_use_block_id) AS distinct_tool_ids, SUM(CASE WHEN a.tool_path IS NOT NULL AND a.tool_path != '' THEN 1 ELSE 0 END) AS affected_path_calls, SUM(CASE WHEN a.output_text IS NOT NULL AND a.output_text != '' THEN 1 ELSE 0 END) AS output_text_calls FROM actions a JOIN sessions s ON s.session_id = a.session_id {""WHERE "" + "" AND "".join(where) if where else """"} GROUP BY s.origin, normalized_tool_name, action_kind ORDER BY call_count DESC, s.origin ASC, normalized_tool_name ASC {limit_clause} """"""",tuple(params)
async,polylogue/storage/sqlite/queries/tool_usage.py,148,get_tool_usage_provider_coverage_rows,139,178,execute,SELECT,actions;sessions,"""""""
        SELECT
            s.origin AS source_name,
            COUNT(DISTINCT s.session_id) AS session_count,
            COALESCE(COUNT(a.tool_use_block_id), 0) AS action_count,
            COUNT(DISTINCT COALESCE(NULLIF(LOWER(a.tool_name), ''), 'unknown')) AS distinct_tool_count,
            COUNT(DISTINCT COALESCE(NULLIF(a.semantic_type, ''), 'tool_use')) AS distinct_action_kind_count,
            COUNT(a.tool_use_block_id) AS has_tool_id_signal,
            SUM(CASE WHEN a.tool_path IS NOT NULL AND a.tool_path != '' THEN 1 ELSE 0 END) AS has_affected_paths_signal,
            SUM(CASE WHEN a.output_text IS NOT NULL AND a.output_text != '' THEN 1 ELSE 0 END) AS has_output_text_signal
        FROM sessions s
        LEFT JOIN actions a ON a.session_id = s.session_id
        GROUP BY s.origin
        ORDER BY action_count DESC, session_count DESC, s.origin ASC
        """"""","SELECT s.origin AS source_name, COUNT(DISTINCT s.session_id) AS session_count, COALESCE(COUNT(a.tool_use_block_id), 0) AS action_count, COUNT(DISTINCT COALESCE(NULLIF(LOWER(a.tool_name), ''), 'unknown')) AS distinct_tool_count, COUNT(DISTINCT COALESCE(NULLIF(a.semantic_type, ''), 'tool_use')) AS distinct_action_kind_count, COUNT(a.tool_use_block_id) AS has_tool_id_signal, SUM(CASE WHEN a.tool_path IS NOT NULL AND a.tool_path != '' THEN 1 ELSE 0 END) AS has_affected_paths_signal, SUM(CASE WHEN a.output_text IS NOT NULL AND a.output_text != '' THEN 1 ELSE 0 END) AS has_output_text_signal FROM sessions s LEFT JOIN actions a ON a.session_id = s.session_id GROUP BY s.origin ORDER BY action_count DESC, session_count DESC, s.origin ASC",
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8412,_archive_source_raw_link_debt,8396,8433,execute,DYNAMIC/OTHER,,"""ATTACH DATABASE ? AS source_debt""",ATTACH DATABASE ? AS source_debt,"(source_uri,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8444,_archive_user_overlay_debt,8436,8480,execute,DYNAMIC/OTHER,,"""ATTACH DATABASE ? AS user_debt""",ATTACH DATABASE ? AS user_debt,"(f""file:{user_db_path}?mode=ro"",)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,3828,ArchiveStore.delete_sessions,3817,3837,execute,PRAGMA,,"""PRAGMA foreign_keys = ON""",PRAGMA foreign_keys = ON,
sync,polylogue/storage/sqlite/archive_tiers/archive.py,3843,ArchiveStore._attach_user_tier_if_present,3839,3845,execute,DYNAMIC/OTHER,,"""ATTACH DATABASE ? AS user_tier""",ATTACH DATABASE ? AS user_tier,"(user_db_uri,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8426,_archive_source_raw_link_debt,8396,8433,execute,DYNAMIC/OTHER,,"""DETACH DATABASE source_debt""",DETACH DATABASE source_debt,
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8469,_archive_user_overlay_debt,8436,8480,execute,DYNAMIC/OTHER,,"""DETACH DATABASE user_debt""",DETACH DATABASE user_debt,
sync,polylogue/storage/sqlite/archive_tiers/archive.py,727,ArchiveStore.__init__,696,737,execute,DYNAMIC/OTHER,,statement,statement,
sync,polylogue/storage/sqlite/archive_tiers/archive.py,729,ArchiveStore.__init__,696,737,execute,DYNAMIC/OTHER,,"f""PRAGMA busy_timeout = {max(0, int(read_timeout * 1000))}""","f""PRAGMA busy_timeout = {max(0, int(read_timeout * 1000))}""",
sync,polylogue/storage/sqlite/archive_tiers/archive.py,777,ArchiveStore._ensure_source_conn,773,779,execute,PRAGMA,,"""PRAGMA foreign_keys = ON""",PRAGMA foreign_keys = ON,
sync,polylogue/storage/sqlite/archive_tiers/archive.py,6271,_since_session_reference,6261,6300,execute,DYNAMIC/OTHER,messages;sessions,"f""""""
        SELECT s.session_id,
               COALESCE(
                   (SELECT MAX(m.occurred_at_ms) FROM messages m WHERE m.session_id = s.session_id),
                   s.sort_key_ms
               ) AS anchor_ms
        FROM sessions s
        WHERE s.session_id = ? OR ({prefix_clause})
        ORDER BY CASE WHEN s.session_id = ? THEN 0 ELSE 1 END, s.session_id
        LIMIT 2
        """"""","f"""""" SELECT s.session_id, COALESCE( (SELECT MAX(m.occurred_at_ms) FROM messages m WHERE m.session_id = s.session_id), s.sort_key_ms ) AS anchor_ms FROM sessions s WHERE s.session_id = ? OR ({prefix_clause}) ORDER BY CASE WHEN s.session_id = ? THEN 0 ELSE 1 END, s.session_id LIMIT 2 """"""","(token, *prefix_params, token)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,6289,_since_session_reference,6261,6300,execute,SELECT,session_working_dirs,"""""""
        SELECT path
        FROM session_working_dirs
        WHERE session_id = ?
        ORDER BY position, path
        """"""","SELECT path FROM session_working_dirs WHERE session_id = ? ORDER BY position, path","(session_id,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,6420,_session_origin,6419,6421,execute,SELECT,sessions,"""SELECT origin FROM sessions WHERE session_id = ?""",SELECT origin FROM sessions WHERE session_id = ?,"(session_id,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8100,_count_scalar,8099,8101,execute,DYNAMIC/OTHER,,sql,sql,params
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8105,_table_exists,8104,8109,execute,SELECT,sqlite_master,"""SELECT 1 FROM sqlite_master WHERE type = 'table' AND name = ? LIMIT 1""",SELECT 1 FROM sqlite_master WHERE type = 'table' AND name = ? LIMIT 1,"(table_name,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8487,_session_latency_profile_from_archive_row,8483,8529,execute,SELECT,messages,"""""""
        SELECT role, occurred_at_ms
        FROM messages
        WHERE session_id = ?
          AND occurred_at_ms IS NOT NULL
          AND role IN ('user', 'assistant')
        ORDER BY position, variant_index
        """"""","SELECT role, occurred_at_ms FROM messages WHERE session_id = ? AND occurred_at_ms IS NOT NULL AND role IN ('user', 'assistant') ORDER BY position, variant_index","(session_id,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8533,_latency_tool_category_counts,8532,8543,execute,SELECT,actions,"""""""
        SELECT COALESCE(NULLIF(semantic_type, ''), 'unknown') AS category, COUNT(*) AS count
        FROM actions
        WHERE session_id = ?
        GROUP BY category
        ORDER BY count DESC, category
        """"""","SELECT COALESCE(NULLIF(semantic_type, ''), 'unknown') AS category, COUNT(*) AS count FROM actions WHERE session_id = ? GROUP BY category ORDER BY count DESC, category","(session_id,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8594,_coverage_work_event_breakdown,8578,8605,execute,DYNAMIC/OTHER,session_work_events;sessions,"f""""""
        SELECT e.work_event_type, COUNT(*) AS count
        FROM sessions s
        JOIN session_work_events e ON e.session_id = s.session_id
        {where}
        GROUP BY e.work_event_type
        ORDER BY count DESC, e.work_event_type
        """"""","f"""""" SELECT e.work_event_type, COUNT(*) AS count FROM sessions s JOIN session_work_events e ON e.session_id = s.session_id {where} GROUP BY e.work_event_type ORDER BY count DESC, e.work_event_type """"""",params
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8624,_coverage_repos_active,8608,8635,execute,DYNAMIC/OTHER,repos;session_repos;sessions,"f""""""
        SELECT DISTINCT COALESCE(NULLIF(r.repo_name, ''), NULLIF(r.root_path, ''), NULLIF(r.origin_url, '')) AS repo
        FROM sessions s
        JOIN session_repos sr ON sr.session_id = s.session_id
        JOIN repos r ON r.repo_id = sr.repo_id
        {where}
        ORDER BY repo
        """"""","f"""""" SELECT DISTINCT COALESCE(NULLIF(r.repo_name, ''), NULLIF(r.root_path, ''), NULLIF(r.origin_url, '')) AS repo FROM sessions s JOIN session_repos sr ON sr.session_id = s.session_id JOIN repos r ON r.repo_id = sr.repo_id {where} ORDER BY repo """"""",params
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8654,_coverage_origin_breakdown,8638,8664,execute,DYNAMIC/OTHER,sessions,"f""""""
        SELECT s.origin, COUNT(DISTINCT s.session_id) AS count
        FROM sessions s
        {where}
        GROUP BY s.origin
        ORDER BY count DESC, s.origin
        """"""","f"""""" SELECT s.origin, COUNT(DISTINCT s.session_id) AS count FROM sessions s {where} GROUP BY s.origin ORDER BY count DESC, s.origin """"""",params
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8753,_tag_origin_breakdown,8745,8764,execute,DYNAMIC/OTHER,sessions,"f""""""
        SELECT s.origin, COUNT(DISTINCT s.session_id) AS count
        FROM sessions s
        JOIN {tags_relation} st ON st.session_id = s.session_id
        {tag_clause}
        GROUP BY s.origin
        ORDER BY count DESC, s.origin
        """"""","f"""""" SELECT s.origin, COUNT(DISTINCT s.session_id) AS count FROM sessions s JOIN {tags_relation} st ON st.session_id = s.session_id {tag_clause} GROUP BY s.origin ORDER BY count DESC, s.origin """"""",tag_params
sync,polylogue/storage/sqlite/archive_tiers/archive.py,8775,_tag_repo_breakdown,8767,8788,execute,DYNAMIC/OTHER,sessions,"f""""""
        SELECT s.git_repository_url AS repo, COUNT(DISTINCT s.session_id) AS count
        FROM sessions s
        JOIN {tags_relation} st ON st.session_id = s.session_id
        {tag_clause}
          AND s.git_repository_url IS NOT NULL
          AND s.git_repository_url != ''
        GROUP BY s.git_repository_url
        ORDER BY count DESC, s.git_repository_url
        """"""","f"""""" SELECT s.git_repository_url AS repo, COUNT(DISTINCT s.session_id) AS count FROM sessions s JOIN {tags_relation} st ON st.session_id = s.session_id {tag_clause} AND s.git_repository_url IS NOT NULL AND s.git_repository_url != '' GROUP BY s.git_repository_url ORDER BY count DESC, s.git_repository_url """"""",tag_params
sync,polylogue/storage/sqlite/archive_tiers/archive.py,850,ArchiveStore._write_parsed_precedence_result,839,926,execute,SELECT,sessions,"""SELECT raw_id FROM sessions WHERE session_id = ?""",SELECT raw_id FROM sessions WHERE session_id = ?,"(session_id,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,1094,ArchiveStore.get_session_tree,1087,1107,execute,SELECT,sessions,"""""""
            SELECT session_id
            FROM sessions
            WHERE session_id = ?
               OR root_session_id = ?
            ORDER BY
                CASE WHEN session_id = ? THEN 0 ELSE 1 END,
                COALESCE(sort_key_ms, created_at_ms, updated_at_ms, 0),
                session_id
            """"""","SELECT session_id FROM sessions WHERE session_id = ? OR root_session_id = ? ORDER BY CASE WHEN session_id = ? THEN 0 ELSE 1 END, COALESCE(sort_key_ms, created_at_ms, updated_at_ms, 0), session_id","(root_session_id, root_session_id, root_session_id)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,1110,ArchiveStore._root_session_id_for_tree,1109,1130,execute,SELECT,sessions,"""SELECT root_session_id, parent_session_id FROM sessions WHERE session_id = ?""","SELECT root_session_id, parent_session_id FROM sessions WHERE session_id = ?","(session_id,)"
sync,polylogue/storage/sqlite/archive_tiers/archive.py,1144,ArchiveStore.raw_artifacts_for_session,1132,1181,execute,SELECT,sessions,"""SELECT raw_id FROM sessions WHERE session_id = ?""",SELECT raw_id FROM sessions WHERE session_id = ?,"(resolved_session_id,)"
